Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,SSW,PIRATEN,AfD,Sonstige
INSA,BILD,O- 1.003,02.02.2022,,25%,28%,15%,12%,4%,3%,–,7%,FW 3 %
Infratest,NDR,TOM- 1.167,20.01.2022,,28%,23%,20%,10%,3%,4%,–,7%,5%
INSA,BILD,O- 1.001,24.11.2021,,21%,28%,18%,14%,4%,3%,–,7%,FW 2 %
Infratest,NDR,TOM- 1.220,28.05.2021,,28%,15%,27%,11%,4%,3%,–,6%,6%
INSA,BILD,TOM- 1.000,19.05.2021,,25%,21%,27%,11%,3%,3%,–,6%,FW 2 %
INSA,BILD,TOM- 1.002,25.11.2020,,33%,20%,24%,8%,3%,3%,–,6%,3%
INSA,BILD,TOM- 1.000,28.01.2020,,28%,20%,26%,9%,3%,3%,–,7%,4%
INSA,BILD,TOM- 1.002,08.02.2019,,30%,20%,22%,9%,5%,3%,–,7%,FW 1 %
Infratest,NDR,T- 1.002,20.04.2018,,34%,22%,18%,8%,6%,3%,–,6%,3%
Landtagswahl am 07.05.2017,,,,,32.00%,27.30%,12.90%,11.50%,3.80%,3.30%,1.20%,5.90%,2.30%
Forschungs-,ZDF,T- 1.814,04.05.2017,,32%,29%,12%,11%,4.50%,3%,–,6%,2.50%
INSA,BILD,T- 1.004,29.04.2017,,33%,29%,12%,10%,5%,4%,–,5%,2%
Infratest,ARD,T- 1.003,27.04.2017,,32%,31%,12%,8.50%,4.50%,3%,–,6%,3%
Forschungs-,ZDF,T- 1.001,27.04.2017,,32%,30%,12%,9%,5%,3%,–,6%,3%
Infratest,NDR,T- 1.002,20.04.2017,,31%,33%,12%,9%,4%,3%,–,5%,3%
Infratest,NDR,T- 1.002,06.04.2017,,30%,33%,12%,9%,4%,3%,–,7%,2%
Infratest,NDR,T- 1.000,16.03.2017,,27%,33%,14%,9%,4%,3%,–,7%,3%
Infratest,NDR,T- 1.001,09.12.2016,,34%,26%,15%,9%,5%,3%,–,6%,2%
INSA,BILD,T- 1.000,19.10.2016,,26%,31%,13%,12%,4%,4%,1%,6%,3%
Forsa,Lübecker und,T- 1.001,16.04.2016,,28%,28%,16%,9%,3%,4%,1%,9%,2%
Infratest,NDR,T- 1.002,31.10.2014,,34%,29%,15%,3%,5%,3%,2%,7%,2%
Infratest,NDR,T- 1.003,07.05.2013,,34%,31%,15%,6%,3%,4%,3%,–,4%
Landtagswahl am 06.05.2012,,,,,30.80%,30.40%,13.20%,8.20%,2.30%,4.60%,8.20%,,2.40%
GMS,Sat.1 Nord-,T- 1.002,02.05.2012,,32%,33%,12%,6%,2%,4%,8%,,3%
Forschungs-,ZDF,T- 1.003,27.04.2012,,31%,31%,12.50%,7%,2.50%,4%,9%,,3%
Infratest,ARD,T- 1.001,26.04.2012,,30%,32%,13%,6%,2.50%,4.50%,9%,,3%
Infratest,NDR,T- 1.000,19.04.2012,,31%,32%,13%,5%,2%,4%,10%,,3%
Infratest,NDR,T- 1.000,12.04.2012,,32%,32%,12%,4%,3%,4%,11%,,2%
