Institut,Auftraggeber,Befragte,Datum,,CSU,SPD,GRÜNE,FDP,LINKE,FW,AfD
Infratest,BR,T- 1.171,19.01.2022,,36%,14%,16%,7%,–,8%,10%
GMS,Sat.1,T- 1.005,05.01.2022,,35%,14%,15%,9%,2%,8%,10%
INSA,BILD,O- 1.000,12.10.2021,,32%,20%,15%,11%,2%,8%,8%
GMS,Sat.1,T- 1.003,28.07.2021,,39%,9%,20%,7%,3%,9%,8%
INSA,BILD,O- 1.000,21.07.2021,,37%,10%,21%,8%,3%,10%,8%
Forsa,RTL/n-tv,T- 1.016,19.05.2021,,38%,7%,22%,6%,3%,9%,9%
INSA,BILD,O- 1.400,27.04.2021,,36%,9%,24%,7%,3%,9%,9%
GMS,Sat.1,T- 1.005,30.03.2021,,40%,8%,20%,6%,3%,9%,9%
GMS,Sat.1,T- 1.003,16.02.2021,,47%,8%,18%,4%,3%,8%,8%
INSA,FDP LV,O- 1.016,28.01.2021,,46%,9%,18%,5%,3%,8%,7%
Infratest,BR,T- 1.000,13.01.2021,,48%,7%,19%,3%,3%,8%,7%
GMS,Sat.1,T- 1.005,05.01.2021,,48%,8%,18%,4%,2%,7%,6%
GMS,Sat.1,T- 1.004,10.11.2020,,46%,8%,18%,4%,3%,6%,8%
GMS,Sat.1,T- 1.003,13.10.2020,,46%,8%,19%,4%,3%,7%,8%
Infratest,BR,T- 1.001,07.10.2020,,45%,8%,21%,3%,3%,7%,8%
GMS,Sat.1,T- 1.005,21.08.2020,,47%,9%,18%,3%,3%,6%,7%
INSA,BILD,O- 1.001,11.08.2020,,47%,10%,18%,3%,3%,7%,7%
GMS,Sat.1,T- 1.004,28.07.2020,,49%,7%,19%,3%,3%,5%,7%
Infratest,BR,T- 1.003,22.07.2020,,49%,7%,20%,3%,3%,5%,7%
GMS,Sat.1,T- 1.002,16.06.2020,,48%,9%,16%,4%,3%,8%,6%
INSA,BILD,TOM- 1.014,30.05.2020,,46%,10%,17%,4%,3%,8%,7%
Infratest,BR,T- 1.000,27.05.2020,,48%,9%,19%,3%,3%,8%,5%
GMS,Sat.1,T- 1.006,05.05.2020,,47%,10%,15%,3%,3%,9%,7%
Infratest,BR,T- 1.003,08.04.2020,,49%,10%,17%,–,3%,8%,6%
GMS,Sat.1,T- 1.006,25.02.2020,,38%,9%,20%,3%,4%,11%,11%
Infratest,BR,T- 1.004,15.01.2020,,36%,7%,25%,4%,3%,10%,10%
GMS,Sat.1,T- 1.004,03.01.2020,,38%,8%,20%,6%,4%,10%,10%
GMS,Sat.1,T- 1.005,08.10.2019,,37%,8%,22%,5%,3%,11%,10%
INSA,BILD,TOM- 1.034,25.09.2019,,36%,9%,22%,5%,3%,10%,11%
GMS,Sat.1,T- 1.003,23.07.2019,,37%,7%,22%,5%,3%,11%,9%
GMS,Sat.1,T- 1.005,25.06.2019,,37%,8%,23%,5%,3%,9%,9%
Forsa,RTL/n-tv,T- 1.003,28.01.2019,,38%,6%,23%,5%,3%,12%,8%
Infratest,BR,T- 1.003,09.01.2019,,35%,9%,21%,6%,3%,13%,8%
GMS,Sat.1,T- 1.003,03.01.2019,,38%,9%,18%,5%,4%,11%,10%
Landtagswahl am 14.10.2018,,,,,37.20%,9.70%,17.60%,5.10%,3.20%,11.60%,10.20%
Forschungs-,ZDF,T- 1.075,11.10.2018,,34%,12%,19%,5.50%,4%,10%,10%
INSA,BILD,TOM- 1.707,09.10.2018,,33%,10%,18%,5.50%,4.50%,11%,14%
Forschungs-,ZDF,T- 1.122,05.10.2018,,35%,12%,18%,5.50%,4.50%,10%,10%
Infratest,ARD,T- 1.002,04.10.2018,,33%,11%,18%,6%,4.50%,11%,10%
GMS,Sat.1,T- 1.004,27.09.2018,,35%,13%,16%,5%,4%,10%,12%
INSA,BILD,TOM- 1.064,26.09.2018,,34%,11%,17%,6%,4%,10%,14%
Forschungs-,ZDF,T- 1.114,21.09.2018,,35%,13%,18%,5%,4%,11%,10%
Infratest,Bayerischer,T- 1.000,12.09.2018,,35%,11%,17%,5%,5%,11%,11%
GMS,Sat.1,T- 1.006,10.09.2018,,36%,12%,16%,6%,4%,7%,14%
INSA,BILD,TOM- 1.033,28.08.2018,,36%,13%,15%,6%,3%,8%,14%
Forsa,RTL/n-tv,T- 1.105,13.08.2018,,37%,12%,17%,5%,4%,8%,13%
GMS,Sat.1,T- 1.004,01.08.2018,,39%,12%,14%,6%,3%,8%,13%
Infratest,Bayerischer,T- 1.003,18.07.2018,,38%,13%,16%,5%,4%,9%,12%
GMS,Sat.1,T- 1.007,12.07.2018,,39%,12%,14%,6%,3%,7%,14%
Forsa,RTL/n-tv,T- 1.003,09.07.2018,,38%,12%,15%,6%,3%,8%,14%
INSA,BILD,TOM- 1.231,27.06.2018,,41%,13%,13%,5%,3%,6%,14%
Forsa,RTL/n-tv,T- 1.033,25.06.2018,,40%,13%,14%,5%,3%,8%,13%
GMS,Sat.1,T- 1.005,17.05.2018,,42%,13%,12%,5%,2%,7%,13%
Infratest,Bayerischer,T- 1.002,02.05.2018,,41%,12%,14%,6%,3%,7%,12%
GMS,Sat.1,T- 1.002,27.04.2018,,44%,14%,11%,5%,3%,6%,12%
INSA,BILD,O- 1.005,21.04.2018,,42%,13%,13%,7%,3%,6%,13%
GMS,Sat.1,T- 1.004,22.03.2018,,43%,15%,11%,6%,3%,6%,12%
