Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,PIRATEN,AfD
INSA,BILD,O- 1.000,14.12.2021,,19%,22%,20%,7%,15%,–,9%
Abgeordnetenhauswahl am 26.09.2021,,,,,18.00%,21.40%,18.90%,7.10%,14.10%,0.40%,8.00%
INSA,Cicero,O- 1.000,24.09.2021,,15%,23%,17%,8%,14%,–,11%
Forschungs-,ZDF,T- 1.103,23.09.2021,,17%,22%,19%,7%,13%,–,9%
Infratest,ARD,TOM- 1.510,17.09.2021,,16%,24%,18%,7%,13%,–,10%
Forschungs-,ZDF,T- 1.000,17.09.2021,,17%,21%,20%,8%,12%,–,9%
Infratest,RBB. Berliner,TOM- 1.160,25.08.2021,,19%,23%,17%,8%,12%,–,11%
INSA,BILD,O- 1.000,25.08.2021,,16%,22%,18%,9%,15%,–,12%
Forsa,Der Haupt-,T- 2.007,13.08.2021,,17%,21%,21%,7%,14%,–,10%
INSA,BILD,O- 1.000,24.06.2021,,18%,18%,22%,10%,13%,–,12%
Infratest,RBB. Berliner,TOM- 1.198,16.06.2021,,21%,17%,22%,9%,12%,–,10%
INSA,BILD,O- 1.000,18.05.2021,,16%,20%,25%,9%,13%,–,12%
Infratest,RBB. Berliner,TOM- ,28.04.2021,,18%,17%,27%,7%,14%,–,9%
INSA,BILD,O- 1.024,23.04.2021,,16%,19%,25%,10%,14%,–,12%
Infratest,RBB. Berliner,T- 1.007,24.02.2021,,22%,18%,23%,6%,15%,–,9%
INSA,BILD,O- 1.002,18.12.2020,,22%,18%,18%,7%,16%,–,12%
INSA,BILD,O- 1.007,12.10.2020,,21%,18%,20%,6%,16%,–,12%
Infratest,RBB. Berliner,T- 1.001,23.09.2020,,22%,15%,26%,6%,15%,–,10%
INSA,BILD,O- 1.012,15.07.2020,,21%,16%,19%,5%,18%,–,12%
Infratest,RBB. Berliner,T- 1.002,29.04.2020,,23%,20%,21%,5%,14%,–,10%
Forsa,Berliner,T- 1.011,11.02.2020,,16%,15%,25%,6%,17%,–,11%
