Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,PIRATEN,AfD
Forsa,Märkische,T- 1.008,20.12.2021,,14%,28%,11%,6%,11%,–,17%
Infratest,RBB,TOM- 1.157,01.09.2021,,13%,34%,8%,7%,9%,–,17%
Infratest,RBB,TOM- 1.183,18.05.2021,,16%,23%,16%,7%,11%,–,18%
Forsa,Märkische,T- 1.001,20.12.2020,,20%,23%,15%,4%,12%,–,16%
Infratest,RBB,T- 1.002,19.11.2020,,20%,26%,12%,5%,11%,–,19%
INSA,BILD,TOM- 1.043,08.10.2020,,17%,21%,16%,4%,13%,–,20%
Infratest,RBB,T- 1.000,07.04.2020,,19%,27%,12%,4%,11%,–,20%
Forsa,Märkische,T- 1.001,26.02.2020,,14%,22%,15%,3%,15%,–,18%
Infratest,RBB,T- 1.000,19.11.2019,,14%,25%,12%,5%,12%,–,22%
Landtagswahl am 01.09.2019,,,,,15.60%,26.20%,10.80%,4.10%,10.70%,0.70%,23.50%
Forschungs-,ZDF,T- 1.653,29.08.2019,,16.50%,22%,14.50%,5%,14%,–,21%
INSA,BILD,TOM- 1.019,27.08.2019,,17%,21%,14%,5%,15%,–,21%
Forschungs-,ZDF,T- 1.112,23.08.2019,,18%,21%,14%,5%,14%,–,20%
Infratest,ARD,T- 1.002,22.08.2019,,18%,22%,12%,5%,15%,–,22%
Forsa,Märkische,T- 1.009,09.08.2019,,18%,17%,16%,5%,14%,–,21%
INSA,BILD,TOM- 1.001,02.07.2019,,18%,19%,16%,6%,16%,–,19%
Infratest,RBB,T- 1.000,11.06.2019,,17%,18%,17%,5%,14%,–,21%
INSA,BILD,TOM- 1.011,30.05.2019,,20%,19%,12%,5%,18%,–,20%
Infratest,RBB. Antenne,T- 1.000,09.04.2019,,20%,22%,12%,5%,16%,–,19%
INSA,BILD,TOM- 1.006,07.02.2019,,21%,21%,10%,5%,17%,–,19%
pmg – policy,SPD-LV,T- 1.006,10.01.2019,,21%,23%,10%,3%,18%,–,21%
Forsa,Märkische,T- 1.005,01.01.2019,,19%,20%,12%,5%,17%,–,20%
Infratest,RBB. Antenne,T- 1.000,19.09.2018,,21%,23%,7%,5%,17%,–,23%
INSA,BILD,TOM- 1.048,17.08.2018,,18%,23%,8%,5%,18%,–,21%
Infratest,RBB. Antenne,T- 1.000,18.04.2018,,23%,23%,7%,4%,17%,–,22%
Infratest,RBB,T- 1.005,14.11.2017,,22%,23%,6%,7%,17%,–,20%
Forsa,Märkische,T- 1.002,10.11.2017,,22%,25%,6%,5%,18%,–,18%
Infratest,RBB,T- 1.000,21.06.2017,,25%,28%,6%,3%,18%,–,15%
Forsa,Märkische,T- 1.003,18.01.2017,,21%,30%,7%,4%,15%,–,18%
Infratest,RBB. Märkische,T- 1.000,30.11.2016,,25%,30%,6%,–,17%,–,16%
Forsa,Märkische,T- 1.001,30.09.2016,,17%,30%,6%,4%,17%,–,20%
Infratest,RBB. Märkische,T- 1.002,25.05.2016,,23%,29%,6%,–,17%,–,20%
Forsa,Märkische,T- 1.003,19.03.2016,,19%,31%,7%,3%,16%,–,19%
Forsa,Märkische,T- 1.002,04.01.2016,,21%,36%,6%,–,18%,–,11%
Infratest,RBB. Märkische,T- 1.000,18.11.2015,,23%,33%,6%,–,19%,–,13%
Forsa,Märkische,T- 1.002,19.09.2015,,24%,35%,7%,–,20%,–,7%
Infratest,RBB. Märkische,T- 1.000,11.02.2015,,25%,34%,5%,–,19%,–,10%
Forsa,Märkische,T- 1.001,04.01.2015,,22%,34%,8%,–,19%,–,8%
Landtagswahl am 14.09.2014,,,,,23.00%,31.90%,6.20%,1.50%,18.60%,1.50%,12.20%
Forschungs-,ZDF,T- 1.062,11.09.2014,,24%,32.50%,5.50%,–,20%,–,9.50%
Infratest,RBB. Märkische,T- 1.003,04.09.2014,,24%,31%,6%,2%,22%,–,9%
Forschungs-,ZDF,T- 1.012,04.09.2014,,25%,33%,6%,–,21%,–,8%
Infratest,RBB. Märkische,T- 1.001,27.08.2014,,27%,33%,5%,2%,21%,–,6%
Forsa,Märkische,T- 1.002,23.08.2014,,23%,34%,6%,3%,22%,–,6%
INSA,BILD,?- 500,08.08.2014,,25%,34%,5%,3%,22%,–,5%
Infratest,RBB. Märkische,T- 1.001,04.06.2014,,28%,30%,6%,2%,23%,–,6%
Emnid,DIE LINKE-,T- 1.002,14.03.2014,,24%,32%,6%,3%,25%,2%,5%
Forsa,Märkische,T- 1.001,05.01.2014,,23%,34%,5%,4%,25%,–,4%
Infratest,RBB. Märkische,T- 1.000,04.12.2013,,30%,32%,6%,2%,22%,–,3%
Infratest,RBB. Märkische,T- 1.002,28.08.2013,,30%,33%,6%,3%,20%,–,3%
GMS,CDU-,T- 1.006,26.08.2013,,27%,35%,10%,3%,20%,–,–
Infratest,RBB. Märkische,T- 1.001,29.05.2013,,27%,35%,9%,2%,21%,–,–
Emnid,DIE LINKE-,T- 1.000,26.02.2013,,23%,36%,8%,3%,22%,4%,–
Forsa,Märkische,T- 758,02.01.2013,,22%,36%,7%,3%,24%,2%,–
Infratest,RBB. Märkische,T- 1.000,20.09.2012,,23%,39%,7%,2%,22%,4%,–
GMS,CDU-,T- 1.006,27.08.2012,,24.50%,35.10%,7.50%,3.00%,20.00%,4.80%,–
Infratest,RBB. Märkische,T- 1.000,21.03.2012,,21%,37%,7%,3%,22%,6%,–
Infratest,SPD-,T- 1.001,07.03.2012,,23%,38%,7%,2%,21%,5%,–
Emnid,DIE LINKE-,T- 1.002,08.02.2012,,24%,34%,8%,2%,21%,7%,–
Infratest,RBB. Märkische,T- 1.004,13.12.2011,,25%,35%,8%,3%,20%,4%,–
Infratest,RBB. Märkische,T- 1.003,24.08.2011,,22%,35%,11%,3%,22%,2%,–
Infratest,SPD-,T- 1.000,10.03.2011,,24%,35%,8%,3%,24%,–,–
Infratest,RBB. Märkische,T- 1.000,22.09.2010,,21%,31%,12%,4%,26%,–,–
Infratest,SPD-,T- 1.000,01.04.2010,,21%,34%,8%,5%,28%,–,–
Infratest,RBB. Märkische,T- 1.002,10.02.2010,,22%,31%,8%,6%,27%,–,–
