Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,AfD
Bürgerschaftswahl am 26.05.2019,,,,,26.70%,24.90%,17.40%,5.90%,11.30%,6.10%
Forschungs-,ZDF,T- 1.664,23.05.2019,,26%,24.50%,18%,5%,12%,7%
INSA,BILD,T- 1.000,21.05.2019,,28%,23%,18%,6%,11%,6%
Infratest,ARD,T- 1.007,16.05.2019,,27%,24%,18%,5%,12%,6%
Forschungs-,ZDF,T- 1.021,16.05.2019,,26%,24.50%,18%,5.50%,12%,8%
Infratest,Radio Bremen,T- 1.000,07.05.2019,,26%,25%,18%,6%,12%,8%
INSA,BILD,T- 1.000,02.04.2019,,25%,25%,19%,7%,11%,7%
Infratest,Weser-Kurier,T- 1.000,07.02.2019,,25%,24%,18%,6%,13%,8%
FGW,CDU-LV,T- 1.015,10.09.2018,,26%,26%,20%,7%,12%,6%
pollytix,SPD-Landes-,T- 1.000,03.08.2018,,24%,28%,14%,10%,14%,8%
INSA,BILD,T- 1.003,28.05.2018,,24%,22%,14%,9%,17%,10%
Infratest,Weser-Kurier,T- 1.002,01.05.2018,,24%,26%,14%,7%,15%,9%
Infratest,Radio Bremen,T- 1.003,19.01.2017,,24%,29%,13%,8%,11%,11%
Infratest,Weser-Kurier,T- 1.000,10.05.2016,,22%,29%,16%,7%,10%,11%
Bürgerschaftswahl am 10.05.2015,,,,,22.40%,32.80%,15.10%,6.60%,9.50%,5.50%
Forschungs-,ZDF,T- 1.000,07.05.2015,,23%,36%,15%,6.50%,8.50%,5%
Infratest,ARD,T- 1.001,30.04.2015,,22%,37%,16%,6%,8%,5%
Forschungs-,ZDF,T- 1.013,30.04.2015,,23%,37%,15%,5%,9%,5%
INSA,BILD,T- 500,23.04.2015,,25%,37%,12%,6%,9%,5%
Infratest,Weser-Kurier,T- 1.001,18.04.2015,,23%,38%,16%,5%,6%,5%
FGW,CDU-LV,T- 1.002,26.06.2014,,28%,40%,16%,–,8%,3%
Emnid,GRÜNE,T- 1.401,14.02.2014,,21%,37%,17%,3%,9%,5%
Bürgerschaftswahl am 22.05.2011,,,,,20.40%,38.60%,22.50%,2.40%,5.60%,
Forschungs-,ZDF,T- 1.037,13.05.2011,,19%,37%,24%,4%,6%,
Infratest,ARD,T- 1.001,12.05.2011,,20%,36%,24%,3%,7%,
Emnid,FOCUS,T- 1.004,30.04.2011,,22%,37%,24%,4%,7%,
Forsa,Weser-Kurier,T- 1.308,19.02.2011,,23%,38%,22%,4%,7%,
Konkret,BILD,O- 500,22.12.2010,,22.80%,33.40%,19.40%,3.30%,8.50%,
Emnid,GRÜNE-Bürg.-,T- 1.000,30.03.2010,,25%,35%,17%,5%,11%,
Bürgerschaftswahl am 13.05.2007,,,,,25.60%,36.70%,16.50%,6.00%,8.40%,
Forschungs-,ZDF,T- 1.036,04.05.2007,,28%,40%,14%,6%,4.5,
Infratest,ARD,T- 1.000,26.04.2007,,26%,42%,14.50%,5%,5.5,
Emnid,GRÜNE,T- 1.400,01.04.2005,,28%,38%,16%,6%,4%,
Bürgerschaftswahl am 25.05.2003,,,,,29.80%,42.30%,12.80%,4.20%,1.70%,
Infratest,ARD,T- 1.000,16.05.2003,,36%,38%,12%,5%,2%,
Forschungs-,ZDF,T- 1.003,09.05.2003,,36%,38%,14%,5%,–,
Forsa,Stern. RTL,T- 1.194,06.05.2003,,38%,37%,14%,4%,–,
Infratest,FOCUS,T- 1.000,03.05.2003,,34%,42.50%,13%,4.50%,2%,
Infratest,SPD,T,16.04.2003,,35%,42%,13%,4%,–,
Bürgerschaftswahl am 06.06.1999,,,,,37.10%,42.60%,8.90%,2.50%,2.9,
Uni Bremen,ZDF,T- 1.100,28.05.1999,,32.50%,46.50%,9.50%,3.00%,–,
