Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,AfD
INSA,BILD,TOM- 1.253,22.10.2021,,20%,26%,20%,11%,5%,11%
Infratest,Hessischer,T- 1.001,25.02.2021,,32%,17%,21%,7%,6%,10%
Infratest,Hessischer,T- 1.003,09.12.2020,,34%,19%,22%,7%,5%,8%
INSA,BILD,O- 1.018,03.11.2020,,30%,18%,19%,6%,9%,11%
Infratest,Hessischer,T- 1.005,14.05.2020,,36%,18%,20%,7%,4%,10%
Infratest,Hessischer,T- 1.000,17.02.2020,,26%,16%,25%,7%,8%,12%
INSA,BILD,TOM- 2.000,24.12.2019,,26%,16%,23%,8%,9%,13%
Infratest,Hessischer,T- 1.001,26.04.2019,,27%,19%,21%,9%,6%,13%
Landtagswahl am 28.10.2018,,,,,27.00%,19.80%,19.80%,7.50%,6.30%,13.10%
Forschungsgruppe,ZDF,T- 1.025,25.10.2018,,28%,20%,20%,8%,8%,12%
INSA,BILD,TOM- 1.004,23.10.2018,,26%,21%,21%,7%,8%,13%
Infratest,ARD,T- 1.002,18.10.2018,,26%,21%,20%,9%,8%,12%
Forschungsgruppe,ZDF,T- 1.035,18.10.2018,,26%,20%,22%,8%,8%,12%
Forschungsgruppe,FAZ. FFH,T- 1.038,03.10.2018,,29%,23%,18%,6%,8%,13%
Infratest,Hessischer,T- 1.000,24.09.2018,,28%,23%,17%,7%,8%,14%
Forschungsgruppe,ZDF,T- 1.039,21.09.2018,,32%,25%,15%,6%,8%,11%
INSA,BILD,TOM- 1.039,07.09.2018,,29%,24%,14%,7%,8%,14%
Infratest,Hessischer,T- 1.003,21.06.2018,,31%,22%,14%,7%,7%,15%
Forschungsgruppe,FAZ. FFH,T- 1.049,12.06.2018,,31%,25%,13%,8%,8%,11%
INSA,BILD,TOM- 1.067,17.05.2018,,33%,24%,13%,7%,8%,11%
Forschungsgruppe,FAZ. FFH,T- 1.011,22.03.2018,,31%,26%,13%,7%,8%,10%
Allensbach,FDP-LV,F- 760,02.03.2018,,31%,26%,12%,9%,7%,11%
Forsa,RTL/n-tv,T- 1.035,25.02.2018,,33%,23%,14%,8%,7%,10%
Infratest,Hessischer,T- 1.006,19.01.2018,,31%,25%,13%,8%,8%,12%
Infratest,Hessischer,T- 1.003,12.01.2017,,32%,24%,14%,6%,8%,14%
dimap,CDU LV,T- 1.000,24.08.2016,,36%,27%,13%,4%,6%,9%
Forsa,Frankfurter,T- 1.004,18.04.2016,,33%,27%,11%,7%,6%,10%
Infratest,Hessischer,T- 1.000,20.01.2016,,34%,26%,11%,5%,8%,12%
Forsa,stern. Frankfurter,T- 1.009,02.09.2015,,38%,28%,13%,5%,5%,4%
dimap,CDU LV,T- 1.003,20.07.2015,,41%,27%,14%,6%,6%,2%
dimap,CDU LV,T- 1.000,16.12.2014,,38%,27%,16%,2%,7%,5%
Forsa,Frankfurter,T- 1.002,14.03.2014,,39%,27%,12%,5%,7%,5%
Landtagswahl am 22.09.2013,,,,,38.30%,30.70%,11.10%,5.00%,5.20%,4.10%
Infratest,ARD,T- 1.002,12.09.2013,,40%,32%,12.50%,6%,3.50%,–
Forschungsgruppe,ZDF,T- 1.040,12.09.2013,,38%,30%,13.50%,5.50%,5%,3%
Forsa,Frankfurter,T- 2.012,03.09.2013,,39%,28%,15%,6%,4%,3%
Forschungsgruppe,FAZ. FFH,T- 1.040,28.08.2013,,38%,30%,15%,5%,4%,3%
Infratest,Hessischer,T- 1.000,21.08.2013,,39%,31%,14%,5%,4%,–
Forsa,stern. Frankfurter,T- 1.134,17.07.2013,,38%,27%,17%,6%,4%,2%
Forschungsgruppe,FAZ. FFH,T- 1.018,03.07.2013,,38%,30%,15%,5%,4%,3%
dimap,CDU LV,T- 1.004,21.05.2013,,39%,29%,17%,4%,4%,2%
Forschungsgruppe,FAZ. FFH,T- 1.010,17.04.2013,,36%,33%,16%,5%,4%,–
Infratest,Hessischer,T- 1.000,05.12.2012,,36%,31%,18%,4%,5%,–
Infratest,Hessischer,T- 1.000,18.01.2012,,33%,31%,21%,3%,4%,–
Forschungsgruppe,FAZ. FFH,T- 1.008,09.12.2011,,33%,32%,19%,3%,3%,–
Infratest,Hessischer,T- 1.000,08.12.2011,,34%,30%,20%,4%,3%,–
Forschungsgruppe,FAZ. FFH,T- 1.002,13.11.2010,,32%,29%,23%,5%,4%,–
Landtagswahl am 18.01.2009,,,,,37.20%,23.70%,13.70%,16.20%,5.40%,
Forsa,Frankfurter,T- 1.007,14.01.2009,,41%,24%,13%,15%,4%,
Forschungsgruppe,ZDF. FAZ.,T- 1.072,10.01.2009,,41%,25%,13%,13%,5%,
Wahlen,FFH,06.01.–08.01.,,,,,,,,
Infratest,ARD.,T- 1.000,08.01.2009,,42%,24%,13%,13%,5%,
GMS,Sat.1,T- 1.004,19.12.2008,,41%,25%,13%,13%,5%,
Emnid,Cicero,T- 500,18.12.2008,,43%,24%,11%,13%,5%,
Forsa,stern.,T- 1.005,16.12.2008,,42%,23%,12%,13%,6%,
Forschungs-,ZDF. FAZ.,T- 1.145,05.12.2008,,41%,26%,12%,12%,5%,
gruppe,FFH,01.12.–04.12.,,,,,,,,
Infratest,Hessischer,T- 1.000,04.12.2008,,41%,23%,14%,13%,6%,
Infratest,Hessischer,T- 1.000,06.11.2008,,41%,27%,12%,11%,5%,
Infratest,ARD.,T- 1.000,04.09.2008,,39%,28%,11%,12%,7%,
Forsa,stern.,T- 1.001,27.08.2008,,38%,26%,11%,12%,8%,
Forsa,n-tv,T- 1.005,05.06.2008,,40%,27%,9%,11%,8%,
Forsa,stern.de,T- 1.007,09.04.2008,,40%,28%,9%,10%,8%,
Emnid,Bild am,T- ?,06.04.2008,,37%,30%,10%,12%,6%,
Emnid,Focus,T- 1.000,08.03.2008,,37%,35%,7%,9%,7%,
Landtagswahl am 27.01.2008,,,,,36.80%,36.70%,7.50%,9.40%,5.10%,
Forsa,RTL,1.006,25.01.2008,,38–39 %,37–38 %,6–7 %,9–10 %,4–5 %,
AMR,Quelle: dpa,1.000,25.01.2008,,37%,38%,7%,10%,5%,
Forsa,Frankfurter,1.005,22.01.2008,,38%,38%,7%,9%,5%,
GMS,Quelle: CDU-,1.010,18.01.2008,,39%,34%,8%,9%,5%,
Forschungsgruppe,ZDF,1.100,18.01.2008,,38%,37%,8%,8%,5%,
Infratest,ARD,1.000,17.01.2008,,38%,37%,7%,8%,6%,
Forschungsgruppe,FAZ. FFH,1.003,11.01.2008,,40%,36%,7%,8%,5%,
Infratest,Hessischer,1.000,09.01.2008,,40%,35%,9%,9%,4%,
Emnid,Bild am,800,05.01.2008,,42%,32%,10%,8%,5%,
AMR,Der Spiegel,1.000,29.12.2007,,40%,33%,10%,9%,6%,
Forsa,stern.,1.002,12.12.2007,,41%,30%,11%,9%,5%,
Forschungsgruppe,ZDF. FAZ.,1.052,07.12.2007,,40%,34%,9%,7%,6%,
Wahlen,FFH,03.12.–05.12.,,,,,,,,
Forsa,stern.,1.001,26.09.2007,,43%,30%,9%,8%,5%,
Infratest,ARD,1.000,06.09.2007,,42%,32%,10%,8%,4%,
TNS,Cicero,1.000,24.07.2007,,40%,33%,11%,7%,5%,
Forsa,n-tv,1.012,28.06.2007,,41%,27%,11%,9%,6%,
Emnid,Bild am,599,20.05.2007,,40%,32%,11%,9%,4%,
Infratest,Hessischer,1.001,24.03.2007,,38%,34%,10%,9%,4 %***,
Forsa,n-tv,1.027,14.03.2007,,43%,27%,11%,9%,4%,
Forsa,n-tv,1.023,14.12.2006,,42%,27%,10%,9%,5%,
Forsa,n-tv,1.170,12.10.2006,,41%,27%,12%,11%,3%,
Forsa,n-tv,1.225,15.06.2006,,39%,31%,11%,9%,5%,
Infratest,Hessischer,1.002,19.03.2006,,40%,35%,10%,7%,4 %**,
Infratest,FAZ,1.000,19.10.2003,,52%,28%,11%,5%,–,
