Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,AfD,
pmg – policy,Körber-Stiftung,O- 1.020,25.06.2020,,13%,39%,23%,5%,10%,6%,
Bürgerschaftswahl am 23.02.2020,,,,,11.20%,39.20%,24.20%,4.96%,9.10%,5.30%,
Forschungs-,ZDF,T- 1.184,20.02.2020,,12%,39%,24%,5%,8.50%,6%,
Universität,Universität,T- 1.004,19.02.2020,,12%,34%,32%,6%,7%,5%,
INSA,BILD,TOM- 1.006,18.02.2020,,13%,38%,23%,5%,8%,7%,
Forschungs-,ZDF,T- 1.128,14.02.2020,,13%,37%,25%,4.50%,8%,7%,
Infratest,ARD,T- 1.003,13.02.2020,,14%,38%,23%,5%,8%,6%,
Trend Research,Radio Hamburg,O- 675,10.02.2020,,14%,33%,24%,7%,10%,7%,
Infratest,NDR,T- 1.000,06.02.2020,,14%,34%,27%,5%,8%,7%,
Infratest,NDR,T- 1.002,23.01.2020,,16%,32%,27%,6%,8%,7%,
Infratest,NDR,T- 1.000,09.01.2020,,15%,29%,29%,7%,9%,7%,
Trend Research,Radio Hamburg,O- 678,09.01.2020,,13%,32%,23%,8%,13%,8%,
Forsa,Hamburger,T- 1.009,06.01.2020,,16%,29%,26%,7%,10%,7%,
Infratest,NDR,T- 1.004,17.12.2019,,17%,28%,26%,6%,11%,7%,
Trend Research,Radio Hamburg,O- 652,18.11.2019,,13%,32%,23%,7%,12%,8%,
INSA,BILD,TOM- 1.020,12.11.2019,,17%,25%,26%,8%,12%,8%,
Trend Research,Hamburg,O- 618,17.09.2019,,14%,28%,28%,6%,11%,9%,
pmg – policy,DIE ZEIT.,O- 1.002,29.05.2019,,16%,30%,22%,9%,11%,10%,
Universität,Universität,T- 1.069,20.03.2019,,15%,35%,29%,6%,9%,4%,
Infratest,NDR,T- 1.005,25.02.2019,,17%,31%,22%,8%,10%,8%,
Forsa,Hamburger,T- 1.004,07.01.2019,,14%,30%,24%,9%,11%,7%,
Forsa,DIE WELT.,T- 1.001,16.04.2018,,16%,36%,18%,7%,12%,7%,
pmg – policy,DIE ZEIT,O- 1.025,07.03.2018,,22%,28%,15%,8%,14%,10%,
Universität,Universität,T- 1.004,24.11.2016,,18%,48%,16%,5%,8%,4%,
Infratest,NDR,T- 1.000,07.04.2016,,18%,39%,15%,6%,11%,8%,
Trend Research,Radio Hamburg,O- 759,21.01.2016,,14%,37%,13%,8%,10%,13%,
Bürgerschaftswahl am 15.02.2015,,,,,15.90%,45.60%,12.30%,7.40%,8.50%,1.60%,
Forschungs-,ZDF,T- 1.113,12.02.2015,,17%,47%,12%,6%,8.50%,5%,
Forschungs-,ZDF,T- 1.176,06.02.2015,,19%,45%,11%,6%,9.50%,5%,
Infratest,ARD,T- 1.001,05.02.2015,,18%,46%,11%,5.50%,9%,5.50%,
Infratest,NDR,T- 1.000,29.01.2015,,20%,44%,13%,5%,9%,6%,
Universität,Universität,T- 235,10.02.2015,,22.60%,44.60%,14.90%,2.80%,9.10%,2.90%,
INSA,BILD,T- 1.000,14.01.2015,,23%,42%,14%,4%,7%,6%,
Infratest,NDR,T- 1.000,14.01.2015,,22%,43%,14%,4%,8%,5%,
Universität,Universität,T- 511,10.02.2015,,20.60%,39.70%,21.80%,2.80%,8.90%,3.20%,
mafo.de,Hamburger,O- 500,15.12.2014,,22%,42%,14%,2%,8%,6%,
Infratest,NDR,T- 1.005,11.12.2014,,24%,43%,14%,2%,9%,4%,
GESS,Hamburger,T- 1.002,08.11.2014,,27%,45%,11%,2%,7%,4%,
mafo.de,Hamburger,O- 500,09.05.2014,,22.60%,38.50%,13.70%,2.90%,7.80%,5.80%,
GESS,Hamburger,T- 1.003,15.02.2014,,24%,48%,11%,3%,8%,?,
Infratest,NDR,T- 1.000,15.01.2014,,25%,42%,13%,5%,9%,3%,
Universität,Universität,T- 636,26.06.2013,,21%,43%,18%,4%,8%,–,
GESS,Hamburger,T- 1.003,09.02.2013,,23%,51%,13%,2%,4%,–,
Universität,Universität,T- 468,18.10.2012,,20.80%,42.00%,21.50%,4.40%,4.50%,–,
GESS,Hamburger,T- 1.006,19.02.2012,,21%,52%,12%,2%,6%,–,
Infratest,NDR,T- 1.000,19.01.2012,,20%,51%,14%,3%,4%,–,
YouGov,Hamburger,O- 1.031,07.12.2011,,21%,44%,13%,3%,7%,–,
