Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,
INSA,Nordkurier,TOM- 1.000,14.02.2022,,16%,36%,6%,6%,11%,
Landtagswahl am 26.09.2021,,,,,13.30%,39.60%,6.30%,5.80%,9.90%,
INSA,Cicero,TOM- 1.058,24.09.2021,,13%,40%,7%,5%,11%,
Forschungs-,ZDF,T- 1.015,23.09.2021,,14%,39%,7%,5.50%,11%,
Infratest,ARD,TOM- 1.533,17.09.2021,,15%,40%,6%,5%,10%,
INSA,Nordkurier,TOM- 1.064,17.09.2021,,12%,40%,7%,6%,11%,
Forschungs-,ZDF,T- 1.028,17.09.2021,,15%,38%,6%,6%,11%,
Infratest,NDR. OZ.,TOM- 1.153,09.09.2021,,14%,39%,6%,7%,10%,
Infratest,NDR. OZ.,TOM- 1.153,26.08.2021,,15%,36%,6%,8%,11%,
INSA,Nordkurier,TOM- 1.000,15.08.2021,,18%,28%,8%,7%,14%,
INSA,Nordkurier,TOM- 1.098,25.07.2021,,20%,26%,9%,7%,13%,
Infratest,NDR. OZ.,TOM- 1.159,15.07.2021,,23%,27%,7%,7%,12%,
INSA,BILD,TOM- 1.002,01.07.2021,,20%,26%,8%,6%,13%,
Infratest,NDR. OZ.,TOM- 1.245,20.05.2021,,21%,23%,14%,6%,11%,
Forsa,Ostsee-,T- 1.002,21.01.2021,,24%,26%,10%,3%,16%,
Infratest,NDR. OZ.,T- 1.000,25.11.2020,,27%,27%,10%,3%,12%,
Infratest,NDR,T- 1.004,09.06.2020,,29%,24%,10%,4%,13%,
Forsa,Ostsee-,T- 1.002,16.01.2020,,20%,19%,13%,5%,14%,
Forsa,NDR. Ostsee-,T- 1.002,27.09.2019,,21%,22%,12%,5%,12%,
Forsa,Ostsee-,T- 1.007,17.01.2019,,22%,22%,10%,4%,16%,
Forsa,Schweriner,T- 1.002,30.06.2018,,18%,25%,8%,4%,16%,
Forsa,Ostsee-,T- 1.001,18.01.2018,,20%,28%,5%,5%,15%,
INSA,Nordkurier,T- 1.608,23.07.2017,,22%,31.50%,4.50%,3.50%,13.50%,
Forsa,Ostsee-,T- 1.002,19.01.2017,,21%,32%,4%,4%,13%,
Landtagswahl am 04.09.2016,,,,,19.00%,30.60%,4.80%,3.00%,13.20%,
Forschungs-,ZDF,T- 1.133,01.09.2016,,22%,28%,6%,3%,13%,
INSA,Cicero,T- 1.031,31.08.2016,,20%,28%,6%,2%,15%,
Forschungs-,ZDF,T- 1.020,26.08.2016,,22%,28%,6%,–,13%,
Infratest,ARD,T- 1.003,25.08.2016,,22%,27%,5%,3%,14%,
Infratest,NDR. NK.,T- 1.003,18.08.2016,,23%,26%,6%,3%,16%,
INSA,BILD,T- 1.000,12.08.2016,,23%,24%,6%,3%,19%,
Infratest,NDR. NK.,T- 1.002,30.06.2016,,25%,22%,7%,3%,17%,
Infratest,NDR. NK.,T- 1.000,28.04.2016,,24%,22%,8%,4%,16%,
INSA,BILD,T- 1.002,16.02.2016,,29%,22%,5%,4%,19%,
Marktforschungs-,Ostsee-,T- 750,21.01.2016,,27.20%,28.40%,9.50%,8.00%,20.10%,
Marktforschungs-,Ostsee-,T- 750,15.01.2015,,30.60%,34.30%,9.70%,1.60%,17.40%,
Infratest,NDR. SVZ,T- 1.001,07.05.2014,,34%,29%,5%,2%,20%,
Marktforschungs-,Ostsee-,T- 800,08.03.2014,,31.80%,32.70%,6.20%,1.70%,19.40%,
Emnid,SVZ.,T- 750,14.09.2013,,28%,31%,8%,2%,19%,
Emnid,SVZ.,T- 750,17.08.2013,,28%,32%,8%,2%,20%,
