Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,AfD,Sonstige
Infratest,NDR,TOM- 1.160,19.11.2021,,23%,36%,16%,10%,3%,7%,5%
INSA,BILD,O- 1.000,21.10.2021,,19%,39%,13%,12%,5%,7%,5%
Allensbach,Drei-Quellen-,F- >1.100,20.10.2021,,26%,34%,15%,10%,4%,7%,4%
INSA,BILD,O- 1.000,11.05.2021,,26%,29%,20%,9%,5%,7%,4%
INSA,BILD,O- 1.052,30.03.2021,,26%,30%,18%,9%,4%,7%,6%
Allensbach,Drei-Quellen-,F- 950,11.03.2021,,33%,27%,20%,5%,5%,6%,4%
INSA,BILD,TOM- 1.002,08.11.2020,,34%,27%,18%,6%,5%,6%,4%
Infratest,NDR,T- 1.004,15.10.2020,,35%,27%,20%,4%,5%,6%,3%
Forsa,SPD-LV,T- 1.002,04.06.2020,,32%,30%,16%,5%,6%,5%,6%
Forsa,RTL/n-tv,T- 1.010,11.02.2019,,30%,28%,17%,7%,5%,8%,5%
Infratest,NDR,T- 1.006,22.11.2018,,28%,26%,24%,6%,4%,9%,3%
INSA,BILD,TOM- 1.053,21.11.2018,,27%,26%,17%,10%,5%,12%,3%
Forsa,RTL/n-tv,T- 1.004,25.02.2018,,33%,33%,10%,8%,6%,6%,4%
Landtagswahl am 15.10.2017,,,,,33.60%,36.90%,8.70%,7.50%,4.60%,6.20%,2.40%
Forschungs-,ZDF,T- 1.001,12.10.2017,,33%,34.50%,9%,9%,5%,7%,2.50%
INSA,BILD,T- 1.005,09.10.2017,,32%,33%,10%,10%,5%,7%,3%
Forschungs-,ZDF,T- 1.083,05.10.2017,,33%,33%,9%,10%,5%,7%,3%
Infratest,ARD,T- 1.002,05.10.2017,,34%,34%,8.50%,8%,4.50%,8%,3%
Infratest,NDR,T- 1.004,28.09.2017,,35%,34%,9%,8%,5%,6%,3%
Infratest,NDR,T- 1.001,07.09.2017,,37%,32%,10%,6%,5%,7%,3%
dimap,CDU in,T- 1.003,30.08.2017,,39%,31%,8%,8%,4%,8%,2%
Infratest,NDR,T- 1.003,10.08.2017,,40%,32%,9%,7%,3%,6%,3%
INSA,BILD,O- 1.000,09.08.2017,,40%,28%,9%,9%,5%,7%,2%
INSA,BILD,T- 1.000,27.05.2017,,41%,27%,8%,9%,5%,6%,4%
Forsa,SPD-LV,T- 1.001,06.05.2017,,35%,36%,8%,6%,4%,6%,5%
Infratest,NDR,T- 1.002,20.01.2017,,35%,31%,14%,6%,4%,8%,2%
Forsa,SPD-LV,T- 1.000,11.01.2017,,34%,32%,12%,6%,4%,7%,5%
INSA,BILD,T- 1.000,19.10.2016,,33%,31%,12%,8%,5%,7%,4%
Forsa,SPD-LV,T- 1.002,28.11.2015,,35%,33%,14%,6%,4%,4%,4%
INSA,BILD,T- 1.000,07.09.2015,,37%,29%,14%,6%,6%,3%,5%
Infratest,NDR,T- 1.000,03.07.2015,,40%,31%,14%,5%,5%,2%,3%
GMS,GMS,T- 1.012,24.01.2015,,41%,30%,14%,3%,4%,4%,4%
Infratest,NDR,T- 1.000,20.01.2014,,40%,32%,13%,4%,5%,3%,3%
Landtagswahl am 20.01.2013,,,,,36.00%,32.60%,13.70%,9.90%,3.10%,2.10%,
GMS,Sat.1,T- 1.006,17.01.2013,,41%,33%,13%,5%,3%,,
INFO GmbH,Focus,T- 1.002,12.01.2013,,38.00%,31.50%,14.50%,4.50%,6.00%,,
Infratest,ARD,T- 1.001,10.01.2013,,40%,33%,13%,5%,3%,,
GMS,CDU in,T- 1.007,10.01.2013,,41%,33%,13%,5%,3%,,
Forschungs-,ZDF,T- 1.040,10.01.2013,,39%,33%,13%,5%,3%,,
Infratest,NDR,T- 1.000,03.01.2013,,40%,34%,13%,4%,3%,,
INFO GmbH,Focus,T- 1.001,22.12.2012,,38.50%,33.00%,12.50%,3.50%,4.00%,,
Forschungs-,ZDF,T- 1.043,06.12.2012,,39%,32%,13%,4%,4%,,
Infratest,NDR,T- 1.000,06.12.2012,,40%,33%,15%,3%,3%,,
GMS,CDU in,T- 1.006,04.12.2012,,41%,32%,13%,4%,3%,,
Infratest,NDR,T- 1.003,08.11.2012,,41%,34%,13%,3%,3%,,
Infratest,NDR,T- 1.003,20.09.2012,,37%,33%,15%,3%,4%,,
GMS,CDU in,T- 1.002,20.09.2012,,38%,33%,13%,5%,5%,,
Forsa,Stern,T- 1.108,24.07.2012,,38%,33%,11%,4%,4%,,
YouGov,BILD.,O- 1.025,19.07.2012,,31%,35%,14%,4%,5%,,
Infratest,NDR,T- 1.005,16.05.2012,,32%,36%,13%,4%,3%,,
GMS,CDU in,T- 1.005,16.05.2012,,37%,33%,13%,3%,3%,,
Infratest,NDR,T- 1.001,25.01.2012,,36%,32%,17%,3%,5%,,
GMS,CDU in,T- 1.003,16.05.2012*,,37%,33%,18%,3%,3%,,
Infratest,NDR,T- 1.000,06.05.2011,,34%,31%,22%,5%,5%,,
Infratest,NDR,T- 1.000,15.01.2010,,41%,29%,11%,9%,6%,,
Landtagswahl am 27.01.2008,,,,,42.50%,30.30%,8.00%,8.20%,7.10%,–,
Forschungs-,ZDF,T- 1.100,18.01.2008,,46%,33%,7%,7%,5%,,
Infratest,ARD,T- 1.000,17.01.2008,,44%,34%,7%,7%,5%,,
Infratest,NDR,T- 1.000,07.01.2008,,45%,33%,8%,7%,3%,,
Emnid,Bild am,T- 800,05.01.2008,,45%,32%,9%,8%,4%,,
AMR,Der Spiegel,T- 1.000,29.12.2007,,44%,34%,8%,7%,4%,,
Forschungs-,ZDF,T- 1.056,07.12.2007,,44%,34%,7%,7%,4%,,
Infratest,NDR,T- 1.000,07.11.2007,,44%,33%,9%,7%,4%,,
Infratest,Cicero,T- 1.001,23.10.2007,,45%,33%,8%,6%,5%,,
