Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,AfD
Forsa,NRW-Tages-,T- 2.006,09.02.2022,,29%,27%,18%,9%,4%,7%
INSA,BILD,O- 2.000,03.02.2022,,26%,28%,14%,12%,4%,8%
Infratest,WDR,TOM- 1.160,30.01.2022,,28%,28%,17%,10%,3%,8%
Forsa,NRW-Tages-,T- 2.009,15.12.2021,,27%,27%,17%,12%,4%,7%
Infratest,WDR,TOM- 1.172,24.10.2021,,22%,31%,17%,13%,3%,7%
INSA,BILD,O- 1.000,12.10.2021,,20%,33%,13%,15%,4%,8%
Forsa,RTL/n-tv,T- 1.058,19.05.2021,,25%,19%,26%,12%,4%,7%
INSA,BILD,O- 2.014,11.05.2021,,25%,20%,26%,11%,4.50%,9%
Infratest,WDR,TOM- 1.197,11.04.2021,,28%,18%,26%,11%,3%,8%
Infratest,WDR,T- 1.000,31.01.2021,,37%,17%,24%,8%,3%,6%
INSA,BILD,O- 1.008,31.10.2020,,33%,23%,19%,8%,5%,8%
Infratest,WDR,T- 1.002,02.09.2020,,34%,21%,22%,7%,4%,7%
Infratest,WDR,T- 1.001,14.06.2020,,37%,20%,20%,7%,4%,7%
Infratest,WDR,T- 1.003,19.04.2020,,40%,19%,20%,7%,4%,6%
Forsa,KStA. Express,T- 1.084,10.04.2020,,39%,20%,15%,8%,6%,6%
Infratest,WDR,T- 1.001,03.11.2019,,32%,20%,23%,8%,6%,7%
Mentefactum,Rheinische,T- 1.003,02.11.2019,,31%,20%,21%,10%,5%,10%
Forsa,RTL/n-tv,T- 1.505,17.08.2019,,29%,18%,24%,11%,5%,7%
Infratest,WDR,T- 1.001,24.02.2019,,30%,23%,17%,12%,6%,9%
Mentefactum,Rheinische,T- 1.004,25.11.2018,,28%,19%,19%,11%,8%,11%
Infratest,WDR,T- 1.000,07.10.2018,,28%,21%,17%,11%,8%,12%
YouGov,Sat.1 NRW,O- 1.049,19.09.2018,,31%,24%,10%,10%,7%,13%
Infratest,WDR,T- 1.002,13.05.2018,,35%,22%,12%,9%,7%,12%
Forsa,RTL/n-tv,T- 1.015,25.02.2018,,34%,24%,10%,12%,7%,7%
Infratest,WDR,T- 1.002,14.01.2018,,34%,28%,9%,10%,7%,9%
YouGov,Sat.1 NRW,O- 1.048,12.09.2017,,35%,30%,6%,9%,8%,9%
Infratest,WDR,T- 1.000,03.09.2017,,33%,30%,6%,13%,6%,8%
Landtagswahl am 14.05.2017,,,,,33.00%,31.20%,6.40%,12.60%,4.90%,7.40%
Forschungs-,ZDF,T- 2.402,11.05.2017,,32%,31%,6.50%,13.50%,6%,6.50%
YouGov,Sat.1 NRW,O- 1.017,11.05.2017,,31%,30%,7%,9%,8%,9%
INSA,BILD,T- 1.139,09.05.2017,,30%,33%,7%,13%,5%,7%
Forschungs-,ZDF,T- 1.032,05.05.2017,,32%,32%,7.50%,12%,6%,6%
Infratest,ARD,T- 1.000,04.05.2017,,31%,32%,7%,13%,5%,8%
Forsa,KStA. Express,T- 1.003,28.04.2017,,29%,35%,6%,12%,6%,7%
YouGov,Sat.1 NRW,O- 1.051,25.04.2017,,27%,36%,6%,7%,8%,11%
Infratest,WDR,T- 1.003,23.04.2017,,34%,34%,6%,10%,5%,8%
INSA,BILD,T- 1.000,11.04.2017,,28%,37%,6%,10%,5%,10%
Infratest,WDR,T- 1.001,19.03.2017,,30%,37%,6%,9%,5%,9%
Forsa,KStA. RTL.,T- 1.040,15.03.2017,,26%,40%,6%,11%,5%,7%
INSA,BILD,T- 1.199,05.03.2017,,27%,38%,7%,10%,4%,11%
Infratest,WDR,T- 1.002,19.02.2017,,30%,37%,7%,7%,6%,10%
Forschungs-,ZDF,T- 1.116,10.02.2017,,32%,36%,7%,8%,5%,9%
YouGov,Sat.1 NRW,O- 1.072,27.01.2017,,31%,31%,11%,7%,5%,12%
Forsa,KStA. RTL.,T- 1.072,15.03.2017,,29%,35%,8%,9%,6%,8%
Emnid,Bild am,T- 1.070,21.01.2017,,30%,32%,10%,8%,7%,10%
Infratest,WDR,T- 1.002,30.10.2016,,32%,32%,12%,7%,5%,9%
YouGov,Sat.1 NRW,O- 1.022,15.09.2016,,28%,34%,10%,9%,5%,11%
Mentefactum,Rheinische,T- 1.004,11.09.2016,,27%,31%,11%,8%,5%,13%
Infratest,WDR,T- 1.002,22.05.2016,,31%,31%,10%,8%,6%,12%
INSA,BILD,T- 1.097,29.04.2016,,32%,29%,13%,7.50%,5.50%,9%
Infratest,WDR,T- 1.002,21.02.2016,,33%,31%,9%,7%,7%,10%
Infratest,WDR,T- 1.000,13.12.2015,,35%,34%,10%,6%,5%,5%
Forsa,KStA.,T- 1.211,02.12.2015,,29%,39%,10%,7%,5%,4%
YouGov,Sat.1 NRW,O- 1.022,26.11.2015,,30%,34%,11%,5%,5%,9%
Infratest,WDR,T- 1.001,06.09.2015,,36%,34%,11%,5%,6%,3%
Infratest,WDR,T- 1.000,21.06.2015,,35%,36%,10%,6%,5%,4%
Forsa,KStA.,T- 1.097,02.06.2015,,32%,36%,11%,9%,4%,3%
INSA,BILD,T- 500,27.05.2015,,38%,34%,12%,6%,6%,2%
YouGov,KStA.,O- 1.015,18.12.2014,,35%,34%,12%,4%,4%,7%
Infratest,WDR,T- 1.000,07.12.2014,,36%,35%,10%,5%,5%,5%
Forsa,KStA,T- 1.082,14.11.2014,,33%,36%,10%,4%,5%,6%
Forsa,KStA,T- 1.506,02.09.2014,,32%,39%,10%,5%,4%,4%
YouGov,KStA,O- 1.006,20.05.2014,,34%,39%,10%,5%,5%,?
Infratest,WDR,T- 1.000,11.05.2014,,36%,37%,10%,5%,5%,3%
YouGov,Sat.1 NRW,O- 1.055,11.12.2013,,34%,38%,10%,4%,5%,?
Infratest,WDR,T- 1.000,08.12.2013,,38%,37%,8%,4%,5%,3%
YouGov,Sat.1 NRW,O- 1.051,19.09.2013,,35%,38%,11%,4%,4%,?
Infratest,WDR,T- 1.009,07.09.2013,,36%,40%,9%,4%,4%,2%
Infratest,WDR,T- 1.001,26.05.2013,,35%,39%,14%,4%,3%,–
YouGov,Sat.1 NRW,O- 1.104,25.04.2013,,31%,42%,12%,6%,3%,–
Infratest,WDR,T- 1.001,16.12.2012,,32%,40%,12%,5%,4%,–
YouGov,KStA.,O- 1.020,27.09.2012,,30%,39%,13%,5%,4%,–
YouGov,KStA.,O- 1.061,13.06.2012,,29%,38%,12%,7%,3%,–
Landtagswahl am 13.05.2012,,,,,26.30%,39.10%,11.30%,8.60%,2.50%,–
INFO GmbH,Handels-,T- 1.007,11.05.2012,,33%,38%,11%,5%,4%,
YouGov,KStA.,O- 1.063,09.05.2012,,30%,37%,12%,6%,3.50%,
YouGov,BILD,O- 1.053,07.05.2012,,31%,37%,11%,5%,4%,
Forschungs-,ZDF,T- 1.082,04.05.2012,,31%,38%,11%,6%,3%,
Infratest,ARD,T- 1.003,03.05.2012,,30%,38.50%,11%,6%,4%,
YouGov,KStA.,O- 1.038,03.05.2012,,31%,36%,11%,5%,4%,
Forsa,stern,T- 1.008,02.05.2012,,32%,37%,10%,5%,3%,
Emnid,Focus,T- 1.001,27.04.2012,,32%,38%,10%,5%,4%,
Infratest,WDR,T- 1.001,22.04.2012,,31%,39%,11%,4%,3%,
Forschungs-,ZDF,T- 1.045,20.04.2012,,34%,37%,11%,4%,3%,
YouGov,KStA.,O- 1.064,18.04.2012,,32%,36%,13%,4%,4%,
INFO GmbH,Wirtschafts-,T- 1.005,14.04.2012,,29%,40%,10%,3%,3%,
Infratest,WDR,T- 1.001,25.03.2012,,32%,40%,12%,4%,3%,
Forsa,stern,T- 1.003,21.03.2012,,33%,39%,11%,4%,4%,
Forschungs-,ZDF,T- 1.073,15.03.2012,,34%,37%,13%,2%,4%,
Infratest,ARD,T- 1.002,14.03.2012,,34%,38%,14%,2%,4%,
YouGov,KStA.,O- 1.065,14.03.2012,,33%,33%,17%,2%,5%,
Infratest,WDR,T- 1.004,26.02.2012,,35%,35%,17%,2%,3%,
YouGov,KStA.,O- 1.018,08.02.2012,,33%,31%,15%,3%,6%,
YouGov,KStA.,O- 1.039,19.01.2012,,31%,33%,17%,3%,5%,
YouGov,BILD,O- 1.005,27.12.2011,,31%,34%,15%,4%,6%,
YouGov,Sat.1 NRW,O- 1.026,15.12.2011,,31%,34%,15%,4%,6%,
YouGov,Sat.1 NRW,O- 1.042,10.11.2011,,30%,31%,18%,3%,5%,
Infratest,WDR,T- 1.000,16.10.2011,,31%,35%,16%,3%,4%,
YouGov,Sat.1 NRW,O- 1.000,12.10.2011,,30%,32%,17%,4%,5%,
YouGov,Sat.1 NRW,O- 982,20.09.2011,,33%,33%,17%,6%,5%,
Emnid,Focus,T- 1.063,07.08.2011,,32%,34%,20%,5%,5%,
Forsa,stern,T- 1.004,13.07.2011,,32%,33%,21%,3%,4%,
Infratest,WDR,T- 1.000,03.04.2011,,34%,30%,24%,4%,4%,
Emnid,Focus,T- 1.000,13.03.2011,,35%,35%,14%,5%,5%,
Forsa,stern,T- 1.008,02.02.2011,,35%,34%,17%,4%,4%,
Emnid,Rheinische,T- 635,29.01.2011,,36%,36%,15%,4%,4%,
YouGov,BILD,O- 1.029,25.01.2011,,24.70%,30.60%,14.10%,5.50%,8.60%,
Infratest,WDR,T- 1.000,19.12.2010,,32%,36%,18%,4%,5%,
Forsa,stern,T- 1.002,20.10.2010,,31%,35%,19%,3%,5%,
Infratest,WDR,T- 1.001,11.07.2010,,32%,36%,17%,5%,6%,
Emnid,N24,T,25.06.2010,,35%,36%,12%,6%,7%,
Emnid,Rheinische,T- 1.001,27.05.2010,,34%,35%,12%,6%,7%,
Landtagswahl am 09.05.2010,,,,,34.60%,34.50%,12.10%,6.70%,5.60%,
YouGov,BILD,O- 1.007,07.05.2010,,35%,35.50%,10.50%,7%,7%,
Emnid,FDP-LV,T- 1.000,06.05.2010,,37%,33%,12%,8%,5%,
Forsa,stern.de,T- 1.005,06.05.2010,,37%,37%,10%,6%,5%,
GMS,Sat.1 NRW,T- 1.001,05.05.2010,,37%,33%,12%,7%,6%,
Emnid,Bild am,T- 1.033,02.05.2010,,38%,33%,11%,8%,6%,
Forschungs-,ZDF,T- 1.080,30.04.2010,,35%,33.50%,11%,8.50%,6%,
Infratest,ARD,T- 1.000,29.04.2010,,37.50%,33%,12%,7.50%,5.50%,
Forsa,stern,T- 1.004,28.04.2010,,39%,33%,10%,7%,6%,
Emnid,Focus,T- 1.038,24.04.2010,,38%,34%,11%,8%,6%,
OmniQuest,Kölner Stadt-,T- 1.000,23.04.2010,,37.50%,36.80%,12.80%,5.10%,4.80%,
Forsa,stern,T- 1.009,21.04.2010,,38%,34%,9%,8%,6%,
Forsa,stern,T- 1.003,14.04.2010,,39%,34%,11%,6%,5%,
Infratest,WDR,T- 1.000,11.04.2010,,38%,34%,12%,7%,6%,
GMS,Sat.1,T- 1.002,09.04.2010,,39%,32%,12%,7%,6%,
Emnid,Bild am,T- 1.047,04.04.2010,,38%,32%,12%,8%,7%,
Emnid,N24,T- 996,24.03.2010,,38%,32%,11%,8%,7%,
Forschungs-,ZDF,T- 1.091,19.03.2010,,37%,33%,12%,8%,6%,
Emnid,BILD,T- 1.000,12.03.2010,,37%,33%,12%,8%,7%,
Infratest,ARD,T- 1.000,04.03.2010,,35%,33%,13%,10%,6%,
Forsa,stern,T- 1.016,03.03.2010,,38%,34%,11%,6%,6%,
GMS,CDU-LV,T- 1.003,25.02.2010,,39%,31%,12%,7%,6%,
Forsa,stern,T- 1.047,03.02.2010,,41%,32%,11%,6%,5%,
Infratest,WDR,T- 1.000,22.01.2010,,36%,32%,12%,9%,6%,
Forsa,stern.,T- 1.121,19.01.2010,,42%,31%,11%,6%,5%,
Infratest,WDR,T- 1.000,22.11.2009,,36%,30%,11%,10%,8%,
Forsa,stern.,T- 1.022,18.11.2009,,41%,31%,9%,9%,6%,
GMS,CDU-LV,T- 1.002,12.08.2009,,39%,29%,9%,12%,5%,
Infratest,WDR,T- 1.000,14.06.2009,,38%,27%,12%,14%,6%,
Forsa,stern,T- 1.283,06.05.2009,,42%,30%,8%,11%,5%,
Infratest,WDR,T- 1.000,01.03.2009,,40%,28%,10%,12%,7%,
Forsa,stern,T- 1.078,04.02.2009,,42%,26%,9%,13%,6%,
Emnid,CDU-LV,T,29.01.2009,,38%,30%,9%,12%,9%,
Infratest,WDR,T- 1.000,12.10.2008,,37%,30%,10%,12%,9%,
Forsa,stern,T- 1.017,08.10.2008,,41%,30%,8%,10%,7%,
Forsa,n-tv,T- 970,14.08.2008,,44%,27%,8%,10%,7%,
Forsa,n-tv,T- 867,14.08.2008,,42%,30%,8%,10%,6%,
Forsa,n-tv,T- 1.054,12.06.2008,,44%,27%,8%,9%,8%,
Forsa,n-tv,T- 1.216,21.05.2008,,42%,29%,9%,9%,7%,
Forsa,n-tv,T- 1.386,03.04.2008,,43%,29%,8%,8%,8%,
Infratest,WDR,T- 1.000,30.03.2008,,41%,31%,10%,9%,6%,
Emnid,Westfälische,T- 1.000,29.02.2008,,41%,32%,8%,8%,8%,
Forsa,n-tv,T- 1.014,06.02.2008,,42%,33%,6%,8%,7%,
Emnid,Rheinische,T- ,02.02.2008,,39%,35%,8%,9%,6%,
Infratest,WDR,T- 1.000,11.11.2007,,40%,34%,8%,9%,6%,
Emnid,LReg NRW,T- 1.000,10.11.2007,,40%,33%,8%,9%,7%,
Forsa,n-tv,T- 1.418,07.11.2007,,45%,31%,7%,7%,6%,
Forsa,n-tv,T- 1.157,13.09.2007,,44%,29%,8%,8%,6%,
Emnid,LReg NRW,T- 1.000,06.08.2007,,38%,31%,9%,11%,8%,
Infratest,WDR,T- 1.000,05.08.2007,,38%,35%,9%,9%,6%,
Emnid,Emnid,T- 1.000,02.05.2007,,39%,32%,11%,12%,–,
Emnid,LReg NRW,T- 1.000,08.03.2007,,38%,33%,12%,11%,–,
Emnid,Rheinische,T- 1.000,18.01.2007,,39%,33%,11%,12%,3%,
Infratest,WDR,T- 1.000,14.01.2007,,38%,36%,9%,9%,4 %*,
Forsa,WAZ,T- 1.932,27.10.2006,,41%,31%,8%,11%,5%,
Emnid,CDU-LV,T- 1.000,14.08.2006,,40%,34%,9%,9%,3%,
Infratest,WDR,T- 1.000,13.08.2006,,39%,35%,9%,10%,4 %*,
Forsa,n-tv.,T- 1.055,19.07.2006,,43%,32%,7%,10%,5%,
GMS,CDU-LV,T- 1.001,22.05.2006,,42%,38%,7%,7%,3 %*,
Infratest,WDR,T- 1.000,21.05.2006,,43%,34%,6%,10%,4 %*,
Forsa,n-tv.,T- 1.001,18.05.2006,,41%,33%,8%,9%,5%,
Emnid,Emnid,T- 1.002,15.05.2006,,40%,35%,7%,8%,4%,
Infratest,WDR,T- 1.000,18.12.2005,,42%,36%,8%,7%,4 %*,
Infratest,WDR,T- 1.000,21.08.2005,,45%,34%,7%,6%,5%,
Landtagswahl am 22.05.2005,,,,,44.80%,37.10%,6.20%,6.20%,0.90%,
Forsa,RTL/n-tv,T- 1.326,19.05.2005,,43%,36%,7%,7%,–,
Infratest,WDR,T- 1.000,15.05.2005,,43%,37%,7.50%,7.50%,–,
Infas,Infas,T- 750,13.05.2005,,43%,36%,7%,8%,–,
Forschungs-,ZDF,T- 1.062,13.05.2005,,44%,35%,9%,7%,–,
Infratest,WDR,T- 1.000,12.05.2005,,43%,37%,8%,7%,2 %**,
Forsa,Stern/RTL,T- 1.017,11.05.2005,,45%,34%,7%,7%,1%,
Infratest,WDR,T- 1.010,04.05.2005,,45%,35%,8%,7%,–,
Emnid,Emnid,T,03.05.2005,,44%,34%,9%,7%,2 %**,
Forsa,Stern/RTL,T- 1.109,01.05.2005,,45%,35%,7%,7%,2 %**,
Infratest,WDR,T- 1.000,01.05.2005,,45%,34%,9%,7%,–,
Emnid,Emnid,T- 1.000,27.04.2005,,45%,34%,10%,6%,–,
Emnid,Emnid,T- 1.053,22.04.2005,,45%,35%,9%,6%,–,
Infratest,WDR,T- 1.000,17.04.2005,,45%,35%,8%,7%,–,
Forschungs-,ZDF,T- 1.039,08.04.2005,,46%,36%,8%,6%,–,
Infratest,WDR,T- 1.000,07.04.2005,,45%,34%,9%,7%,–,
Emnid,Emnid,T- 1.063,07.04.2005,,45%,35%,9%,7%,–,
Forsa,n-tv,T- 1.009,06.04.2005,,45%,36%,8%,6%,–,
Infratest,WDR,T- 1.000,20.03.2005,,42%,35%,10%,7%,1%,
Emnid,Emnid,T- 1.058,18.03.2005,,43%,35%,10%,7%,–,
Infratest,WDR,T- 1.000,04.03.2005,,43%,35%,9%,7%,–,
Forsa,n-tv,T- 1.012,02.03.2005,,42%,36%,9%,7%,–,
Infratest,WDR,T- 1.000,13.02.2005,,39%,37%,9%,7%,–,
Forsa,n-tv,T- 1.302,13.01.2005,,39%,39%,9%,7%,–,
Infratest,WDR,T- 1.010,09.01.2005,,40%,38%,10%,7%,–,
Emnid,ddp,T- 1.000,03.12.2004,,40%,33%,13%,8%,–,
Forsa,n-tv,T,02.12.2004,,39%,36%,11%,8%,–,
Infratest,WDR,T- 1.075,05.11.2004,,40%,36%,11%,8%,–,
Infratest,WDR,T- 1.000,19.09.2004,,43%,30%,13%,7%,–,
Emnid,ddp,T- 1.000,12.09.2004,,43%,30%,11%,7%,–,
Infratest,WDR,T- 1.000,29.08.2004,,42%,32%,12%,7%,3%,
Emnid,CDU,T- 1.000,13.08.2004,,44%,28%,12%,8%,–,
Psephos,WDR,T- 1.000,06.06.2004,,47%,33%,10%,6%,–,
Forschungs-,GRÜNE NRW,T,24.04.2003,,49%,29%,12%,5%,–,
Psephos,WDR,T- 1.003,18.04.2004,,47%,34%,8%,7%,–,
dimap,WELT,T- 1.007,12.03.2004,,48%,32%,10%,6%,–,
dimap,WELT,T- 1.001,01.02.2004,,48%,32%,9%,8%,–,
dimap,FAZ,T,19.01.2004,,48%,33%,8%,7%,–,
Psephos,WDR,T,02.11.2003,,47%,31%,10%,7%,–,
dimap,BILD,T- 1.050,08.10.2003,,47%,34%,10%,6%,–,
Infratest,WDR,T- 1.000,02.07.2003,,47%,33%,10%,7%,–,
Emnid,WELT,T,13.06.2003,,45%,36%,10%,6%,–,
Forsa,Stern,T- 1.508,03.06.2003,,45%,37%,9%,6%,–,
Infratest,WDR,T- 1.000,28.05.2003,,45%,33%,11%,8%,–,
dimap,FOCUS,T- 1.005,19.05.2003,,48%,32%,9%,7%,–,
dimap,BILD,T- 1.000,25.03.2003,,48%,33%,10%,6%,–,
Psephos,WDR,T- 1.005,09.02.2003,,46%,33%,10%,8%,–,
Emnid,CDU,T- 1.000,20.01.2003,,45%,36%,9%,6%,–,
Psephos,WDR,T,10.11.2002,,43%,39%,7%,8%,–,
Psephos,WDR,T,15.04.2002,,38%,36%,8%,12%,–,
Psephos,WDR,T,20.01.2002,,41%,39%,6%,10%,–,
Psephos,WDR,T,30.09.2001,,38%,43%,6%,10%,–,
Psephos,WDR,T,13.05.2001,,35%,44%,7%,11%,–,
Psephos,WDR,T,14.01.2001,,38%,41%,8%,9%,–,
Landtagswahl am 14.05.2000,,,,,37.00%,42.80%,7.10%,9.80%,1.10%,
Infratest,dpa,T,08.05.2000,,38%,45%,7%,7%,–,
Infratest,WDR,T,05.05.2000,,39%,45%,6%,6%,–,
Emnid,dpa,T,26.04.2000,,40%,41%,7%,7%,–,
