Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,AfD
Infratest,SWR,TOM- 1.172,25.11.2021,,21%,34%,12%,11%,–,8%
Infratest,SWR,TOM- 1.160,09.09.2021,,23%,40%,9%,6%,3%,8%
Infratest,SWR,TOM- 1.153,15.07.2021,,24%,38%,9%,6%,3%,8%
Landtagswahl am 14.03.2021,,,,,27.70%,35.70%,9.30%,5.50%,2.50%,8.30%
INSA,BILD,TOM- 1.354,12.03.2021,,29%,32%,10%,7%,3%,10%
Forschungs-,ZDF,T- 1.735,11.03.2021,,29%,33%,10%,6.50%,3%,9%
INSA,BILD,TOM- 1.501,09.03.2021,,30%,30%,12%,6%,3%,10%
Forschungs-,ZDF,T- 998,05.03.2021,,29%,33%,11%,7%,3%,9%
Infratest,ARD,TOM- 1.186,04.03.2021,,28%,30%,12%,9%,3%,9%
Infratest,SWR,T- 1.000,25.02.2021,,31%,30%,12%,7%,3%,9%
INSA,BILD,TOM- 1.304,23.02.2021,,33%,31%,12%,6%,3%,9%
Forschungs-,ZDF,T- 1.022,05.02.2021,,33%,31%,13%,5%,4%,7%
INSA,BILD,TOM- 1.006,23.01.2021,,33%,30%,14%,6%,3%,9%
Infratest,SWR,T- 1.001,14.01.2021,,33%,28%,15%,6%,3%,8%
Infratest,SWR,T- 1.002,10.12.2020,,34%,28%,15%,5%,3%,9%
INSA,BILD,TOM- 1.013,21.10.2020,,33%,27%,14%,5%,5%,10%
Infratest,SWR,T- 1.005,10.09.2020,,34%,26%,17%,6%,4%,9%
Infratest,SWR,T- 1.003,23.04.2020,,38%,27%,13%,6%,4%,8%
INSA,BILD,TOM- 1.045,15.04.2020,,30%,24%,19%,5%,5%,12%
Infratest,SWR,T- 1.001,05.03.2020,,27%,26%,18%,7%,6%,11%
Infratest,SWR,T- 1.002,12.12.2019,,30%,26%,16%,7%,4%,13%
INSA,BILD,TOM- 1.012,18.09.2019,,28%,22%,20%,8%,4%,12%
Infratest,SWR,T- 1.001,12.09.2019,,28%,23%,21%,8%,4%,11%
Infratest,SWR,T- 1.000,21.03.2019,,31%,24%,14%,10%,6%,11%
Forsa,RTL/n-tv,T- 1.005,11.02.2019,,31%,26%,14%,8%,5%,10%
Infratest,SWR,T- 1.001,13.12.2018,,31%,24%,16%,7%,4%,13%
Infratest,SWR,T- 1.003,18.10.2018,,28%,24%,18%,8%,5%,13%
Infratest,SWR,T- 1.004,21.06.2018,,31%,29%,11%,7%,5%,13%
Infratest,SWR,T- 1.001,08.03.2018,,33%,37%,8%,7%,3%,8%
INSA,BILD,TOM- 1.517,10.01.2018,,34%,33%,7%,7%,5%,10%
Infratest,SWR,T- 1.003,14.12.2017,,37%,38%,7%,6%,3%,6%
Infratest,SWR,T- 1.001,14.09.2017,,36%,36%,6%,6%,4%,8%
GESS,Rheinpfalz,T- 1.002,19.07.2017,,37%,33%,7%,6%,3%,8%
Infratest,SWR,T- 1.000,22.06.2017,,37%,32%,7%,7%,5%,8%
Infratest,SWR,T- 1.001,09.03.2017,,35%,40%,6%,6%,3%,7%
GESS,Rheinpfalz,T- 1.002,23.12.2016,,36%,34%,5%,5%,3%,11%
Infratest,SWR,T- 1.000,15.12.2016,,36%,32%,9%,5%,4%,10%
Infratest,SWR,T- 1.004,14.07.2016,,33%,33%,7%,8%,4%,10%
GESS,Rheinpfalz,T- 1.004,22.06.2016,,31%,36%,6%,6%,3%,12%
Landtagswahl am 13.03.2016,,,,,31.80%,36.20%,5.30%,6.20%,2.80%,12.60%
Forschungs-,ZDF,T- 1.693,10.03.2016,,35%,36%,5.50%,7%,3%,
YouGov,YouGov,O- 1.003,10.03.2016,,36%,35%,6%,6%,4%,
Forsa,RTL,T- 1.002,09.03.2016,,35%,35%,6%,6%,4%,
INSA,BILD,T- 1.000,07.03.2016,,35%,35%,7%,5%,3%,
Forschungs-,ZDF,T- 1.011,04.03.2016,,35%,34%,6%,6%,4%,
Infratest,ARD,T- 1.004,03.03.2016,,36%,34%,7%,5%,4%,
Infratest,SWR,T- 1.000,01.03.2016,,36%,32%,8%,6%,4%,
INSA,BILD,T- 1.001,28.02.2016,,35%,32.50%,10%,6%,4%,
GESS,Rheinpfalz,T- 1.002,25.02.2016,,37%,33%,8%,5%,3%,
INSA,BILD,T- 1.032,22.02.2016,,35%,33%,9%,7%,4%,
Infratest,SWR,T- 1.000,11.02.2016,,37%,31%,8%,6%,4%,
INSA,BILD,T- 1.000,05.02.2016,,36%,32%,10%,6%,3%,
Forschungs-,ZDF,T- 1.034,22.01.2016,,38%,31%,7%,5%,5%,
Infratest,SWR,T- 1.001,14.01.2016,,37%,31%,9%,5%,5%,
Infratest,SWR,T- 1.000,10.12.2015,,39%,31%,9%,5%,5%,
INSA,BILD,T- 1.003,25.11.2015,,38.50%,31.00%,11.00%,4.50%,3.50%,
GESS,Rheinpfalz,T- 1.002,19.11.2015,,40%,33%,9%,5%,3%,
Forschungs-,ZDF,T- 1.093,06.11.2015,,41%,30%,8%,4%,5%,
Infratest,SWR,T- 1.005,24.09.2015,,41%,31%,10%,5%,5%,
Infratest,SWR,T- 1.001,23.07.2015,,42%,33%,10%,4%,3%,
GESS,Rheinpfalz,T- 1.003,26.06.2015,,40%,33%,11%,4%,3%,
Infratest,SWR,T- 1.000,19.02.2015,,42%,32%,11%,3%,3%,
GESS,Rheinpfalz,T- 1.002,17.12.2014,,43%,30%,10%,3%,4%,
Infratest,SWR,T- 1.000,13.11.2014,,43%,31%,11%,2%,4%,
Infratest,SWR,T- 1.000,25.09.2014,,43%,31%,10%,2%,4%,
GESS,Rheinpfalz,T- 1.002,24.06.2014,,41%,32%,10%,3%,4%,
Infratest,SWR,T- 1.001,08.05.2014,,41%,31%,11%,3%,4%,
Infratest,SWR,T- 1.000,03.04.2014,,41%,33%,11%,3%,4%,
Infratest,SWR,T- 1.000,12.12.2013,,40%,35%,9%,4%,4%,
GESS,Rheinpfalz,T- 1.005,11.12.2013,,43%,32%,9%,4%,4%,
Infratest,SWR,T- 1.000,05.09.2013,,43%,34%,10%,3%,2%,
GESS,Rheinpfalz,T- 1.003,16.05.2013,,39%,35%,12%,3%,3%,
Infratest,SWR,T- 1.000,25.04.2013,,43%,34%,12%,2%,2%,
Infratest,SWR,T- 1.000,17.01.2013,,43%,33%,13%,2%,3%,
GESS,Rheinpfalz,T-2.007,16.01.2013,,40%,35%,11%,3%,2%,
GESS,Rheinpfalz,T- 1.004,17.10.2012,,36%,36%,13%,3%,2%,
Infratest,SWR,T- 1.000,11.10.2012,,40%,36%,12%,3%,2%,
Infratest,SWR,T- 1.000,30.08.2012,,39%,32%,15%,3%,2%,
Infratest,SWR,T- 1.003,26.07.2012,,37%,31%,16%,3%,3%,
GESS,Rheinpfalz,T- 1.005,27.06.2012,,35%,37%,14%,4%,2%,
Infratest,SWR. Allge-,T- 1.000,10.05.2012,,36%,36%,14%,3%,3%,
Infratest,SWR,T- 1.000,29.03.2012,,37%,36%,15%,2%,3%,
