Institut;Auftraggeber;Befragte;Datum;;CDU;SPD;GRÜNE;FDP;LINKE;AfD
Landtagswahl am 06.06.2021 (vorl. Ergebnis);;;;;37,10%;8,40%;5,90%;6,40%;11,00%;20,80%
INSA;BILD;TOM • 1.132;04.06.2021;;27%;10%;8%;7%;12%;26%
Forschungs-;ZDF;T • 1.017 ;03.06.2021;;30%;10%;9%;6,50%;11,50%;23%
Forschungs-;ZDF;T • 1.008 ;28.05.2021;;29%;10%;9%;8%;11%;23%
Infratest;ARD;TOM • 1.249 ;27.05.2021;;28%;11%;9%;8%;10%;24%
INSA;BILD;TOM • 1.000;26.05.2021;;25%;10%;11%;8%;13%;26%
INSA;BILD;TOM • 1.042;29.04.2021;;26%;10%;12%;6%;13%;24%
Infratest;MDR;TOM • 1.202;23.04.2021;;27%;12%;11%;8%;12%;20%
INSA;BILD;TOM • 1.084;27.01.2021;;30%;10%;9%;5%;16%;23%
INSA;BILD;TOM • 1.079;02.12.2020;;29%;10%;10%;4%;17%;23%
GMS;GMS;T • 1.003;29.07.2020;;33%;12%;10%;4%;16%;19%
Infratest;MDR;T • 1.003;05.06.2020;;34%;13%;8%;4%;16%;19%
INSA;BILD;TOM • 1.005;20.03.2020;;25%;11%;11%;4%;18%;25%
Infratest;MDR;T • 1.000;28.08.2018;;28%;14%;6%;8%;19%;21%
CONOSCOPE;LzpB ST;T • 1.100;22.05.2018;;35%;16%;5%;6%;20%;15%
Infratest;MDR;T • 1.000;22.06.2017;;40%;13%;6%;5%;20%;13%
Infratest;MDR;T • 1.000;22.11.2016;;33%;15%;5%;–;18%;22%
Landtagswahl am 13.03.2016;;;;;29,80%;10,60%;5,20%;4,90%;16,30%;24,30%
Forschungs-;ZDF;T • 1.096;10.03.2016;;32%;14%;5%;4,50%;21%;18%
Forsa;RTL;T • 1.001;09.03.2016;;30%;17%;5%;5%;20%;18%
INSA;BILD;T • 1.000;07.03.2016;;29%;15,50%;6%;4%;20%;19%
uniQma;Leipziger;T • 1.008;05.03.2016;;30%;18%;5%;4%;19%;17%
Forschungs-;ZDF;T • 1.027;04.03.2016;;32%;15%;5%;4%;20%;17%
Infratest;ARD;T • 1.001;03.03.2016;;31,00%;15,00%;5,50%;4,50%;21,00%;19,00%
INSA;BILD;T • 1.001;28.02.2016;;29,50%;17%;5%;5%;20%;17%
INSA;BILD;T • 1.000;22.02.2016;;30%;16%;5%;4%;21%;17%
Infratest;MDR;T • 1.001;17.02.2016;;32%;18%;5%;4%;20%;17%
Forschungs-;ZDF;T • 1.003;14.01.2016;;33%;19%;5%;3%;19%;15%
INSA;BILD;T • 1.004;05.12.2015;;35%;15,50%;6%;3%;23%;13,50%
Infratest;MDR;T • 1.001;14.09.2015;;34%;21%;7%;–;26%;5%
GMS;GMS;T • 1.008;01.07.2015;;35%;21%;6%;4%;21%;6%
Infratest;MDR;T • 1.000;20.08.2013;;39%;21%;7%;2%;22%;–
Landtagswahl am 20.03.2011;;;;;32,50%;21,50%;7,10%;3,80%;23,70%;–
Landtagswahl am 20.03.2011;;;;;32,50%;21,50%;7,10%;3,80%;23,70%;
Forschungs-;ZDF;1.680;11.03.2011;;32%;24%;5%;5%;24%;
Infratest;ARD;1.001;10.03.2011;;33,00%;24,00%;5,50%;4,50%;25,00%;
Emnid;Focus;1.000;20.02.2011;;31%;22%;7%;5%;27%;
Infratest;MDR;1.000;17.02.2011;;32%;23%;7%;5%;26%;
Infratest;MDR;1.000;20.01.2011;;32%;22%;8%;4%;28%;
Infratest;MDR;1.001;23.09.2010;;30%;21%;9%;5%;30%;
Emnid;DIE LINKE;1.000;25.08.2010;;30%;22%;7%;5%;27%;
Infratest;MDR;1.000;17.03.2010;;34%;20%;5%;8%;29%;
Infratest;MDR;1.000;14.05.2009;;33%;24%;6%;7%;25%;
Infratest;MDR;1.000;13.04.2007;;35%;24%;4%;7%;25%;
IWD;Wirtschafts-;750;11.11.2006;;31,20%;28,20%;4,50%;5,60%;19,80%;
Landtagswahl am 26.03.2006;;;;;36,20%;21,40%;3,60%;6,70%;24,10%;
Emnid;N24;500;21.03.2006;;36%;25%;4%;6%;22%;
Forschungs-;ZDF;~ 1.000;17.03.2006;;37%;23%;4%;6%;23%;
Infratest;MDR;1.000;16.03.2006;;36%;26%;4%;6%;23%;
IfM Leipzig;Mitteldeutsche;1.003;14.03.2006;;38%;25%;3%;6%;23%;
Infratest;MDR;1.000;02.03.2006;;36%;27%;4%;6%;22%;
IWD;Wirtschafts-;750;28.02.2006;;38,10%;26,90%;3,40%;6,40%;19,20%;
Infratest;MDR;1.000;02.02.2006;;33%;29%;3%;6%;23%;
Infratest;MDR;1.000;15.12.2005;;31%;30%;2%;6%;27%;
dimap;MDR;2.500;25.11.2005;;33%;25%;4%;9%;25%;
IWD;Wirtschafts-;750;05.09.2005;;26,60%;28,10%;3,30%;6%;30%;
IWD;Wirtschafts-;750;02.05.2005;;37%;26%;4%;5%;21%;
dimap;MDR;1.008;18.04.2005;;47%;23%;3%;5%;18%;
Infratest;MDR;1.000;24.01.2005;;37%;28%;4%;6%;20%;
IWD;Wirtschafts-;754;02.11.2004;;23,80%;26,20%;7,00%;7,00%;25,10%;
IWD;Wirtschafts-;750;04.05.2004;;33,40%;28,60%;6,60%;7,00%;23,00%;
IfM Leipzig;Mitteldeutsche;1.009;05.03.2004;;48%;21%;6%;4%;19%;
IWD;Magdeburger;750;04.11.2003;;43,20%;21,10%;3,80%;6,80%;13,90%;
IWD;Mitteldeutsche;750;07.05.2003;;46,20%;27,90%;4,80%;3,80%;9,00%;
IWD;Magdeburger;;06.11.2002;;31,00%;39,20%;4,60%;7,80%;14,80%;
Landtagswahl am 21.04.2002;;;;;37,30%;20,00%;2,00%;13,30%;20,40%;
Forsa;Magdeburger;;19.04.2002;;34%;24%;2%;10%;22%;
Infratest;MDR;1.000;11.04.2002;;32%;25%;2%;9%;23%;
Emnid;n-tv;;28.03.2002;;33%;24%;2%;8%;26%;
Forschungs-;Magdeburger;;15.03.2002;;36%;28%;3%;7%;19%;
Infratest;MDR;1.000;28.02.2002;;35%;30%;2%;7%;20%;
IfM Leipzig;Mitteldeutsche;;25.02.2002;;39%;31%;2%;6%;19%;
Forsa;Die Woche;;24.01.2002;;37%;25%;2%;7%;25%;
Uni Halle;SPD;;17.01.2002;;40,60%;29,30%;2,10%;6,70%;19,30%;
Infratest;MDR;1.000;18.12.2001;;35%;31%;2%;5%;20%;
Uni Halle;SPD;;28.08.2001;;33,00%;37,40%;3,00%;7,50%;18,30%;
Landtagswahl am 26.04.1998;;;;;22,00%;35,90%;3,20%;4,20%;19,60%;
Infratest;MDR;;23.04.1998;;26%;42%;3%;5%;17%;
Forsa;ProSieben;;20.04.1998;;22%;41%;3%;4%;19%;
Polis;FOCUS;;20.04.1998;;22%;44%;5%;4%;19%;
Infratest;MDR;;09.04.1998;;25%;47%;4%;3%;16%;
Forschungs-;ZDF;1.034;03.04.1998;;25%;44%;4%;4%;17%;
Forsa;Die Woche;;02.04.1998;;24%;44%;4%;3%;20%;
Forsa;Die Woche;1.000;18.03.1998;;24%;44%;4%;3%;19%;
Infratest;MDR;1.000;12.03.1998;;25%;45%;5%;4%;16%;
Infratest;MDR;1.000;29.01.1998;;33%;38%;7%;3%;16%;
