Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,AfD
INSA,BILD,TOM- 1.002,28.01.2022,,30%,35%,8%,6%,7%,7%
Infratest,SR,TOM- 1.165,24.11.2021,,28%,33%,8%,8%,6%,9%
INSA,BILD,TOM- 1.048,21.07.2021,,36%,27%,9%,7%,7%,6%
INSA,BILD,TOM- 1.052,11.05.2021,,31%,21%,15%,7%,14%,6%
Infratest,SR,T- 1.000,11.11.2020,,40%,22%,12%,3%,11%,8%
INSA,BILD,T- 1.000,10.12.2019,,36%,24%,15%,4%,11%,7%
Infratest,SR,T- 1.000,08.05.2019,,37%,25%,11%,4%,12%,8%
Infratest,SR,T- 1.000,21.06.2018,,35%,26%,6%,4%,12%,15%
Landtagswahl am 26.03.2017,,,,,40.70%,29.60%,4.00%,3.30%,12.80%,6.20%
Forschungs-,ZDF,T- 1.132,23.03.2017,,37%,32%,4.50%,4%,12.50%,6%
INSA,BILD,T- 1.002,22.03.2017,,35%,33%,4%,5%,13%,6%
Forschungs-,ZDF,T- 1.054,17.03.2017,,37%,32%,4%,4%,12%,7%
Infratest,ARD,T- 1.001,16.03.2017,,35%,34%,4.50%,3%,13%,6.50%
Forsa,Forum,T- 1.001,09.03.2017,,34%,33%,5%,4%,13%,6%
INSA,BILD,T- 1.025,07.03.2017,,36%,33%,4%,4%,12%,7%
Infratest,SR,T- 1.002,26.01.2017,,38%,26%,5%,4%,14%,9%
INSA,BILD,1.005,13.01.2017,,35%,24%,6%,5%,16%,10%
Forsa,Forum,T- 1.004,15.11.2016,,37%,26%,6%,3%,15%,9%
Infratest,SR,T- 1.001,11.05.2016,,34%,29%,7%,4%,12%,11%
Infratest,SR,T- 1.000,31.03.2015,,40%,33%,6%,2%,10%,4%
Infratest,SR,T- 1.000,14.05.2014,,37%,34%,5%,–,13%,5%
Infratest,SR,T- 1.001,07.05.2013,,39%,36%,6%,2%,10%,3%
Landtagswahl am 25.03.2012,,,,,35.20%,30.60%,5.00%,1.20%,16.10%,–
Forschungs-,ZDF,T- 1.053,16.03.2012,,34%,34%,5%,2%,15%,–
Infratest,ARD,T- 1.000,15.03.2012,,33%,33%,5%,3%,16%,–
Forsa,Forum,T- 1.002,09.03.2012,,35%,37%,4%,1%,14%,–
Infratest,SR,T- 1.001,23.02.2012,,35%,36%,4%,2%,15%,–
Emnid,Sat.1,T- 1.000,27.01.2012,,36%,36%,5%,2%,15%,–
Forschungs-,ZDF,T- 1.039,26.01.2012,,34%,38%,6%,2%,13%,–
Infratest,SR,T- 1.000,16.11.2011,,32%,35%,8%,5%,12%,–
Infratest,SR,T- 1.001,04.11.2010,,32%,34%,9%,4%,17%,–
Infratest,SR,T- 1.000,15.12.2009,,32%,29%,7%,9%,19%,–
Landtagswahl am 30.08.2009,,,,,34.50%,24.50%,5.90%,9.20%,21.30%,–
Forschungs-,ZDF,1.000,21.08.2009,,36%,26%,6%,9%,16%,
Infratest,SR,1.000,20.08.2009,,38%,26%,6%,9%,15%,
Infratest,Saarbrücker,1.000,22.04.2009,,36%,27%,7%,9%,18%,
Emnid,Staatskanzlei,1.000,16.04.2009,,38%,23%,5%,8%,22%,
Infratest,Saarbrücker,1.000,28.10.2008,,38%,25%,5%,6%,23%,
dimap,CDU-LV,1.003,17.09.2008,,42%,22%,6%,6%,20%,
Emnid,Cicero,1.002,16.09.2008,,40%,23%,5%,6%,22%,
Forsa,stern,1.001,03.09.2008,,37%,23%,5%,7%,24%,
Emnid,Bild am,~500,02.03.2008,,40%,25%,7%,6%,19%,
Infratest,Saarbrücker,1.000,27.09.2007,,41%,26%,6%,5%,18%,
Emnid,Bild am,504,20.05.2007,,40%,26%,8%,8%,13%,
SaarZoom,SaarZoom,600,Juni 2007,,36%,35%,8%,7%,13%,
Infratest,Saarbrücker,1.000,16.11.2006,,39%,34%,6%,7%,10 %*,
Infratest,SPD-LV,1.000,26.09.2006,,38%,31%,5%,8%,13%,
Infratest,Saarbrücker,1.000,21.07.2005,,43%,23%,6%,5%,19 %*,
Infratest,SPD-LV,1.000,09.02.2005,,44%,36%,7%,5%,–,
Landtagswahl am 05.09.2004,,,,,47.50%,30.80%,5.60%,5.20%,2.30%,
Infratest,Saarbrücker,1.000,26.08.2004,,51%,30%,7%,5%,–,
Forschungs-,ZDF,1.001,20.08.2004,,50%,31%,6%,3%,–,
Forsa,Stern,1.001,17.08.2004,,54%,29%,6%,4%,–,
SaarZoom,SaarZoom,600,21.06.2004,,54.20%,31.60%,4.40%,4.30%,1.70%,
Infratest,Saarbrücker,1.000,28.05.2004,,54%,33%,5%,3%,–,
SaarZoom,SaarZoom,600,02.03.2004,,56.70%,29.90%,4.90%,3.00%,2.60%,
SaarZoom,SaarZoom,500,14.11.2003,,56%,33%,5%,1%,1%,
Infratest,Saarbrücker,1.000,02.10.2003,,54%,33%,6%,3%,–,
dimap,Staatskanzlei,1.000,29.11.2002,,54%,33%,4%,3%,–,
Infratest,Saarbrücker,1.000,10.09.2002,,48%,39%,4%,5%,–,
Infratest,Saarbrücker,1.000,25.06.2002,,49%,38%,4%,6%,–,
Infratest,Saarbrücker,1.000,05.09.2001,,49%,40%,4%,3%,–,
Infratest,Saarbrücker,1.000,05.09.2000,,48%,43%,3%,3%,–,
Emnid,?,?,28.08.2000,,46%,43%,4%,4%,–,
Landtagswahl am 05.09.1999,,,,,45.50%,44.40%,3.20%,2.60%,0.80%,
Forschungs-,SPD-LV,1.017,31.08.1999,,45%,46%,4%,4%,–,
Infratest,SR,1.000,18.08.1999,,45%,43%,5%,3%,–,
Infratest,SR,1.000,19.07.1999,,46%,43%,4.50%,2%,–,
Infratest,SR,1.000,25.06.1999,,46%,42%,4%,3%,–,
Emnid,CDU-LV,1.000,09.04.1999,,42%,45%,6%,3%,–,
Forsa,SPD-LV,,??.03.1999,,41%,51%,4%,2%,–,
Forsa,SPD-LV,,1?.02.1999,,36%,51%,?,?,–,
Emnid,CDU-LV,,30.01.1999,,41%,46%,7%,2%,–,
