Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,AfD,,
INSA,LVZ,TOM- 1.000,17.09.2021,,31%,11%,7%,8%,11%,26%,,
Infratest,MDR,TOM- 1.179,20.08.2021,,35%,11%,7%,6%,10%,21%,,
INSA,BILD,TOM- 1.001,16.08.2021,,34%,8%,7%,8%,13%,25%,,
INSA,BILD,TOM- 1.000,25.05.2021,,24%,6%,13%,12%,11%,26%,,
INSA,LVZ,TOM- 1.008,04.01.2021,,34%,7%,10%,5%,11%,26%,,
INSA,LVZ,TOM- 1.020,08.07.2020,,36%,7%,10%,4%,11%,26%,,
Landtagswahl am 01.09.2019,,,,,32.10%,7.70%,8.60%,4.50%,10.40%,27.50%,,
Forschungs-,ZDF,T- 1.657,29.08.2019,,32%,8.50%,11%,5%,14%,24.50%,,
INSA,BILD,TOM- 1.018,27.08.2019,,29%,8%,11%,5%,15%,25%,,
Forschungs-,ZDF,T- 1.068,23.08.2019,,31%,9%,10%,5%,14%,25%,,
Infratest,ARD,T- 1.002,22.08.2019,,30%,7%,11%,5%,16%,24%,,
FB Czaplicki,Leipziger,T- 700,20.08.2019,,28%,8%,13%,5%,16%,26%,,
INSA,BILD,TOM- 1.011,06.08.2019,,28%,8%,12%,5%,16%,25%,,
Infratest,MDR,T- 1.000,02.07.2019,,26%,9%,12%,5%,15%,26%,,
FB Czaplicki,Leipziger,T- 703,15.06.2019,,24%,8%,14%,6%,15%,24%,,
INSA,BILD,TOM- 1.057,13.06.2019,,24%,7%,16%,6%,16%,25%,,
INSA,BILD,TOM- 1.000,26.04.2019,,28%,10%,9%,6%,16%,26%,,
INSA,CDU-LV,TOM- 1.028,05.04.2019,,28%,9%,9%,6%,17%,25%,,
FB Czaplicki,Leipziger,T- 703,22.03.2019,,27%,11%,16%,5%,17%,18%,,
INSA,BILD,TOM- 1.000,20.12.2018,,29%,10%,9%,6%,18%,25%,,
IM Field,Sächsische,T- 1.002,23.11.2018,,29%,11%,8%,6%,17%,24%,,
