year,state,state_po,totalvotes,dem,other,rep
1976,ALABAMA,AL,1182850,0.557272689,0.016578603,0.426148709
1976,ALASKA,AK,123574,0.356531309,0.064422937,0.579045754
1976,ARIZONA,AZ,742719,0.397999782,0.03833886,0.563661358
1976,ARKANSAS,AR,767535,0.649617281,0.001339353,0.349043366
1976,CALIFORNIA,CA,7803770,0.479548218,0.022968642,0.49748314
1976,COLORADO,CO,1081440,0.42609946,0.033622762,0.540277778
1976,CONNECTICUT,CT,1386355,0.46733701,0.013848545,0.518814445
1976,DELAWARE,DE,235642,0.519690887,0.014432911,0.465876202
1976,DISTRICT OF COLUMBIA,DC,168830,0.816312267,0.018592667,0.165095066
1976,FLORIDA,FL,3150631,0.519261062,0.014314593,0.466424345
1976,GEORGIA,GA,1463152,0.669382949,NA,0.330617051
1976,HAWAII,HI,291301,0.505919993,0.01346717,0.480612837
1976,IDAHO,ID,340932,0.371185456,0.03001185,0.598802694
1976,ILLINOIS,IL,4721282,0.481075903,0.018155662,0.500768435
1976,INDIANA,IN,2220362,0.457003858,0.009768677,0.533227465
1976,IOWA,IA,1279303,0.484584965,0.020720658,0.494694377
1976,KANSAS,KS,957845,0.449363937,0.025757821,0.524878242
1976,KENTUCKY,KY,1167142,0.527542493,0.016770025,0.455687483
1976,LOUISIANA,LA,1277383,0.517749962,0.022367606,0.459882432
1976,MAINE,ME,482968,0.480940766,0.029751454,0.48930778
1976,MARYLAND,MD,1432273,0.530354199,NA,0.469645801
1976,MASSACHUSETTS,MA,2547558,0.561115782,0.034467125,0.404417093
1976,MICHIGAN,MI,3651590,0.464650741,0.016741748,0.518607511
1976,MINNESOTA,MN,1949931,0.548963015,0.030819552,0.420217433
1976,MISSISSIPPI,MS,768390,0.496270123,0.026308255,0.477421622
1976,MISSOURI,MO,1953600,0.511049857,0.014214783,0.47473536
1976,MONTANA,MT,328734,0.45404187,0.017558269,0.528399861
1976,NEBRASKA,NE,606749,0.384496719,0.023464398,0.592038883
1976,NEVADA,NV,201876,0.45809804,0.040242525,0.501659435
1976,NEW HAMPSHIRE,NH,339627,0.434726921,0.017804827,0.547468252
1976,NEW JERSEY,NJ,3014472,0.47923915,0.01994744,0.500813409
1976,NEW MEXICO,NM,416590,0.482844043,0.009656977,0.50749898
1976,NEW YORK,NY,6668262,0.486508329,0.089706133,0.423785538
1976,NORTH CAROLINA,NC,1677906,0.552691867,0.005114112,0.44219402
1976,NORTH DAKOTA,ND,297308,0.457700432,0.025381086,0.516918482
1976,OHIO,OH,4110456,0.488986867,0.024296818,0.486716316
1976,OKLAHOMA,OK,1092251,0.487472202,0.012910036,0.499617762
1976,OREGON,OR,1029876,0.476180628,0.045975438,0.477843935
1976,PENNSYLVANIA,PA,4620787,0.503956794,0.018721053,0.477322153
1976,RHODE ISLAND,RI,410584,0.554420046,0.004138008,0.441441946
1976,SOUTH CAROLINA,SC,802583,0.561695177,0.007011113,0.43129371
1976,SOUTH DAKOTA,SD,300678,0.489121253,0.007000845,0.503877903
1976,TENNESSEE,TN,1476346,0.559407483,0.011174887,0.42941763
1976,TEXAS,TX,4071884,0.511389568,0.008906197,0.479704235
1976,UTAH,UT,541218,0.336481787,0.039170907,0.624347306
1976,VERMONT,VT,183902,0.423040532,0.031087209,0.545872258
1976,VIRGINIA,VA,1697094,0.479582156,0.02748463,0.492933214
