County,share_conservative_poll,share_labor_poll,N,share_joint_poll,sd_poll,votes_joint,votes_conservative,votes_labor,share_conservative,share_labor,year
Avon,0.507659155296915,0.49234084470308503,268,0.5892926029564826,0.0305387774865604,371595,225175,146420,0.6059688639513449,0.39403113604865514,2015
Bedfordshire,0.5224613591867341,0.47753864081326586,136,0.5957184022182751,0.04283136283416048,229254,140960,88294,0.6148638627897441,0.38513613721025586,2015
Berkshire,0.6403894039034611,0.3596105960965389,192,0.572442847893085,0.0346328071276318,318125,226542,91583,0.7121163064833006,0.2878836935166994,2015
Buckinghamshire,0.6772205642492035,0.32277943575079654,160,0.5891664334677464,0.036962216485824574,243316,174131,69185,0.7156578276808759,0.2843421723191241,2015
Cambridgeshire,0.6174469502178482,0.3825530497821519,194,0.563894030550514,0.034893520939115415,261276,177346,83930,0.6787688115249774,0.3212311884750226,2015
Cheshire,0.48206469528901225,0.5179353047109877,270,0.667033396464931,0.03040944814465862,428433,231416,197017,0.5401451335448016,0.45985486645519835,2015
Cleveland,0.37436826722361544,0.6256317327763846,126,0.5846605065238121,0.0431145270438987,180899,72489,108410,0.4007153162814609,0.599284683718539,2015
Clwyd,0.44449487116034253,0.5555051288396575,269,0.5697471439521956,0.03029711487561513,177918,89189,88729,0.5012927303589294,0.4987072696410706,2015
Cornwall,0.6274919674815013,0.3725080325184987,147,0.4921933384786589,0.039876151656556655,163314,127079,36235,0.778126798682293,0.221873201317707,2015
Cumbria,0.40410867480742435,0.5958913251925756,116,0.567594936913526,0.045562088534901145,181047,104627,76420,0.577899661413887,0.422100338586113,2015
Derbyshire,0.47679881127682505,0.523201188723175,269,0.6714575544633855,0.030452699921312644,390150,202538,187612,0.5191285403050109,0.4808714596949891,2015
Devon,0.5382399509767084,0.4617600490232915,308,0.5596176027094104,0.02840669999103804,391846,281787,110059,0.7191269018951323,0.2808730981048677,2015
Dorset,0.7296021310668827,0.2703978689331174,186,0.566242607006257,0.032567783854794495,251426,200798,50628,0.7986365769649917,0.20136342303500832,2015
Durham,0.3361736985727718,0.6638263014272282,197,0.6430616944979484,0.033657044801571626,208834,71766,137068,0.3436509380656407,0.6563490619343594,2015
Dyfed,0.4814825864935992,0.5185174135064008,182,0.48389004103156924,0.037037040072693914,104092,52002,52090,0.4995772970064943,0.5004227029935058,2015
East Sussex,0.5456493068255351,0.45435069317446475,212,0.5291913126564822,0.03419672145727088,273020,177301,95719,0.6494066368764193,0.3505933631235807,2015
Essex,0.6198709430513176,0.38012905694868226,426,0.5873833001635094,0.0235185950310539,596717,436758,159959,0.7319349038153765,0.26806509618462354,2015
Gloucestershire,0.4968093862945476,0.5031906137054524,147,0.6000874023144483,0.04123846530001525,230935,161852,69083,0.7008552190010175,0.2991447809989824,2015
Greater Manchester,0.36657255546558054,0.6334274445344193,621,0.6531201851821784,0.019336711226024723,866656,315537,551119,0.36408563490012186,0.6359143650998782,2015
Gwent and Mid Glamorgan,0.2671322258268731,0.7328677741731269,452,0.5717144852298013,0.020811660690331732,315744,104616,211128,0.3313317117664944,0.6686682882335057,2015
Gwynedd,0.6201622695717759,0.37983773042822416,51,0.41398463763051707,0.06796207549303349,40361,17464,22897,0.4326949282723421,0.5673050717276579,2015
Hampshire,0.6461180981960111,0.35388190180398893,430,0.5821000372717652,0.023059553908611103,615689,465091,150598,0.7553992356530651,0.2446007643469349,2015
Hereford and Worcester,0.5840294137658747,0.41597058623412525,178,0.6026944341857281,0.036943553787049895,283541,205497,78044,0.7247523285874,0.2752476714125999,2015
Hertfordshire,0.6200054997821735,0.37999450021782655,269,0.6029281497477805,0.029594450902922113,431731,302740,128991,0.701223678633223,0.298776321366777,2015
Humberside,0.4711655886720518,0.5288344113279481,255,0.6749882884481797,0.03125910544825272,298537,158618,139919,0.5313177261110014,0.4686822738889987,2015
Isle of Wight,0.6227232030610564,0.3772767969389435,40,0.5171177742714121,0.07663860245177274,37575,28591,8984,0.7609048569527611,0.23909514304723886,2015
Kent,0.6238410595662501,0.37615894043375,445,0.5856325873917865,0.022963742401686846,594109,422119,171990,0.7105076677848677,0.28949233221513226,2015
Lancashire,0.44498884094481056,0.5550111590551895,399,0.652064744998637,0.02487934656824146,546905,278662,268243,0.5095254203197996,0.4904745796802004,2015
Leicestershire,0.6768619828907552,0.3231380171092449,230,0.6790672645047822,0.030837571593329078,371588,218858,152730,0.5889802684693801,0.41101973153061994,2015
Lincolnshire,0.6118873649304557,0.3881126350695442,232,0.6164789714806256,0.03199415474421952,254302,183168,71134,0.720277465375813,0.279722534624187,2015
London,0.44581594277151626,0.5541840572284837,2308,0.6508851812467272,0.010346343888739843,2778164,1233386,1544778,0.4439572321864368,0.5560427678135632,2015
Merseyside,0.22574503310242405,0.7742549668975759,359,0.7204216849173377,0.022064997245224878,529130,119882,409248,0.22656436036512767,0.7734356396348724,2015
Norfolk,0.5575181679625046,0.4424818320374954,220,0.587022452796029,0.033486202067163365,301112,200027,101085,0.6642943489465714,0.33570565105342864,2015
North Yorkshire,0.5407402593525382,0.4592597406474619,222,0.5634621176253085,0.03344622086867052,294251,202001,92250,0.686492144461701,0.31350785553829896,2015
Northamptonshire,0.5523252184807793,0.4476747815192207,182,0.6129173324088731,0.03685895834800087,263607,174774,88833,0.6630097076329536,0.3369902923670464,2015
Northern Ireland,NA,NA,0,0,NA,NA,9055,NA,NA,NA,2015
Northumberland,0.5045013814724697,0.49549861852753035,98,0.657103040075846,0.05050558037109176,110094,56169,53925,0.5101912910785329,0.4898087089214671,2015
Nottinghamshire,0.508898439361837,0.49110156063816296,266,0.6167592983433596,0.030652111616164202,395499,190041,205458,0.48050943238794536,0.5194905676120547,2015
Oxfordshire,0.5598569044539703,0.44014309554602976,160,0.5932338760991037,0.0392441994909111,236853,165563,71290,0.6990116232431086,0.3009883767568914,2015
Powys,0.5097098580919348,0.4902901419080652,70,0.4663889831390381,0.05975016062809664,39461,31657,7804,0.8022351182179874,0.19776488178201262,2015
Scotland,0.36964623711273437,0.6303537628872657,1902,0.3643308689342284,0.01106827811788315,1141244,434097,707147,0.38037176975300635,0.6196282302469936,2015
Shropshire,0.6239525357734467,0.3760474642265533,101,0.6364966461436827,0.04819882181659881,175147,116435,58712,0.6647844382147567,0.33521556178524325,2015
Somerset,0.5922704165592708,0.40772958344072924,110,0.5328125626179796,0.04685433619478939,162442,135254,27188,0.8326294923726623,0.16737050762733777,2015
South Glamorgan,0.41174151915700896,0.588258480842991,292,0.5172762484815558,0.028800830025097295,164047,74517,89530,0.4542417721750474,0.5457582278249526,2015
