pcon,share_conservative_poll,share_conservative_poll_unweighted,share_labor_poll_unweighted,share_labor_poll,N,share_joint_poll,share_joint_poll_unweighted,sd_poll,share_conservative,share_labor,country_name,region_name,share_joint,year
aldershot,0.8125586306761052,0.7333333333333334,0.26666666666666666,0.18744136932389482,45,0.6874110154660766,0.7377049180327869,0.05817733472178511,0.6352087114337568,0.3647912885662432,England,South East,42427,2017
aldridge-brownhills,0.7588882924774837,0.7352941176470588,0.2647058823529412,0.24111170752251643,34,0.7399974863703433,0.8095238095238095,0.07335988084899812,0.6866438802932658,0.31335611970673416,England,West Midlands,38327,2017
altrincham and sale west,0.8019508280027751,0.8148148148148149,0.18518518518518517,0.198049171997225,27,0.6864037373749875,0.6923076923076923,0.07669702236444254,0.5677276559865093,0.43227234401349074,England,North West,47440,2017
amber valley,0.6027339177260492,0.5862068965517241,0.41379310344827586,0.39726608227395066,29,0.6706921028799864,0.7435897435897436,0.0908666590629591,0.5953803723282004,0.4046196276717996,England,East Midlands,43510,2017
arundel and south downs,0.8623918541164328,0.8157894736842105,0.18421052631578946,0.13760814588356726,38,0.7170558878530566,0.6909090909090909,0.05588337104844575,0.7329457893607475,0.2670542106392525,England,South East,51263,2017
ashfield,0.5510147046162439,0.5599999999999999,0.44,0.44898529538375614,25,0.6344884071836475,0.6578947368421053,0.09947813828433208,0.49476607562486646,0.5052339243751335,England,East Midlands,42129,2017
ashford,0.793469606991797,0.7692307692307692,0.23076923076923075,0.20653039300820303,52,0.6406428461133375,0.6753246753246753,0.05613780944660275,0.6643967041649422,0.33560329583505777,England,South East,53158,2017
ashton-under-lyne,0.4935326219986973,0.423076923076923,0.5769230769230769,0.5064673780013028,26,0.6810693186440926,0.6666666666666667,0.0980498642806475,0.34618003540787146,0.6538199645921285,England,North West,36715,2017
aylesbury,0.8488286722789928,0.7567567567567567,0.24324324324324326,0.15117132772100708,37,0.4944707597401329,0.5967741935483871,0.05889031430390602,0.646647988793276,0.35335201120672405,England,South East,49970,2017
banbury,0.6505535246314876,0.6046511627906976,0.3953488372093023,0.3494464753685124,43,0.6889066888673604,0.6417910447761195,0.07271058210003836,0.6140095996469095,0.38599040035309046,England,South East,54377,2017
barking,0.3968746653327644,0.5238095238095238,0.47619047619047616,0.6031253346672356,21,0.5630887396587001,0.6176470588235294,0.10676301422839249,0.2489193585870323,0.7510806414129677,England,London,43030,2017
barnsley central,0.3247456928552413,0.3235294117647059,0.6764705882352942,0.6752543071447586,34,0.6358190518770015,0.7234042553191489,0.08030931522908795,0.2741588703585333,0.7258411296414666,England,Yorkshire and The Humber,34418,2017
