county_name,region_name,country_name,share_conservative_poll,share_labor_poll,N,share_joint_poll,sd_poll,share_joint,share_conservative,share_labor,year
Avon,South West,England,0.5262947987469971,0.4737052012530029,416,0.6306091679993344,0.024480593941095176,502687,0.5113917805712103,0.4886082194287897,2017
Bedfordshire,East,England,0.6499184693233413,0.35008153067665865,210,0.6138598295735552,0.03291579824453575,299543,0.5449601559709291,0.45503984402907094,2017
Berkshire,South East,England,0.6998504537148199,0.3001495462851801,294,0.6679775206323657,0.026729928966440494,390113,0.6212302589249782,0.37876974107502187,2017
Buckinghamshire,South East,England,0.7557906447201419,0.2442093552798581,263,0.652249443660293,0.026491346321730204,308785,0.6158686464692261,0.3841313535307738,2017
Cambridgeshire,East,England,0.6188167153181962,0.3811832846818038,308,0.620182987975302,0.027674041247426596,341627,0.5956554956136371,0.4043445043863629,2017
Cheshire,North West,England,0.4824975750733842,0.5175024249266157,390,0.7252862596851526,0.025302967552812607,541966,0.48697150743773593,0.513028492562264,2017
Cleveland,North East,England,0.4851744917012661,0.5148255082987339,187,0.6687269868073995,0.03654754461884902,244459,0.4190232308894334,0.5809767691105666,2017
Clwyd,Wales,Wales,0.5084916105086615,0.49150838949133835,292,0.689218597262109,0.029256066725433977,244574,0.47144013672753443,0.5285598632724656,2017
Cornwall,South West,England,0.5853636985997351,0.4146363014002649,246,0.6099609825119836,0.03141080020887213,236396,0.6447994043892452,0.35520059561075484,2017
Cumbria,North West,England,0.5299231758180137,0.4700768241819864,183,0.7161584348897978,0.036894814565161034,232396,0.5735726948828723,0.4264273051171277,2017
Derbyshire,East Midlands,England,0.5259528062257569,0.47404719377424304,401,0.6818222503975162,0.024935150396764156,503945,0.5229479407475022,0.4770520592524978,2017
Devon,South West,England,0.7095230420581021,0.29047695794189776,513,0.6507814870743167,0.02004381627463452,520207,0.6378768451789384,0.3621231548210616,2017
Dorset,South West,England,0.7613583391783235,0.23864166082167645,313,0.6799843478922001,0.024093257215764972,343395,0.6992559588811719,0.3007440411188282,2017
Durham,North East,England,0.45048890514944756,0.5495110948505524,264,0.6914137995149626,0.03062163101362284,274852,0.3929824050761865,0.6070175949238136,2017
Dyfed,Wales,Wales,0.53713023384892,0.46286976615107994,208,0.5321185064971296,0.034573037636502546,142155,0.462185642432556,0.537814357567444,2017
East Sussex,South East,England,0.5978682552529627,0.4021317447470372,340,0.6193887212724035,0.026591783594680084,345022,0.5790529299580897,0.4209470700419104,2017
Essex,East,England,0.7019799936801896,0.2980200063198104,607,0.6103603212242443,0.018564819528881813,790620,0.6690306341858289,0.33096936581417113,2017
Gloucestershire,South West,England,0.6652223884909229,0.3347776115090771,195,0.6092350080694959,0.03379436778604134,282135,0.6481826076169209,0.351817392383079,2017
Greater Manchester,North West,England,0.40937109897426066,0.5906289010257393,894,0.6697365757348783,0.01644550360132499,1131066,0.3639876010772139,0.6360123989227862,2017
Gwent and Mid Glamorgan,Wales,Wales,0.3979680054048013,0.6020319945951987,492,0.6145386324539811,0.022067407453190618,422517,0.3455174584691267,0.6544825415308733,2017
Gwynedd,Wales,Wales,0.477630989786935,0.5223690102130649,77,0.6178176617616126,0.05692323691662374,57178,0.41685613347791106,0.5831438665220889,2017
Hampshire,South East,England,0.7102587646186422,0.2897412353813579,726,0.6717600630764842,0.01683624140528649,777374,0.6802427145749665,0.3197572854250335,2017
Hereford and Worcester,West Midlands,England,0.6320336845290642,0.36796631547093583,264,0.6427398244249731,0.02968056616951108,359965,0.6681371800036114,0.33186281999638856,2017
Hertfordshire,East,England,0.6384186877739538,0.3615813122260462,371,0.597278717827481,0.024944156869436438,521560,0.6283840785336299,0.3716159214663701,2017
Humberside,Yorkshire and The Humber,England,0.5179231397474922,0.48207686025250784,373,0.6364044516282761,0.025872380185545236,397403,0.535828868931538,0.464171131068462,2017
Isle of Wight,South East,England,0.6060011739953766,0.39399882600462355,73,0.6274112246862097,0.057190351604071175,55311,0.6904594022888756,0.30954059771112435,2017
Kent,South East,England,0.6311935485893427,0.3688064514106573,659,0.6461049273158632,0.018794804952018643,785364,0.6405539342266771,0.35944606577332294,2017
Lancashire,North West,England,0.5103217278717712,0.4896782721282288,625,0.7360002920302612,0.019995738023238497,699644,0.48280839970041906,0.5171916002995809,2017
Leicestershire,East Midlands,England,0.6065755835272526,0.3934244164727474,352,0.6803823726904127,0.026037650023343906,472944,0.5493314219019588,0.45066857809804123,2017
Lincolnshire,East Midlands,England,0.6751694565424802,0.3248305434575198,366,0.6815617923218782,0.024479034270937613,332280,0.6834687612856627,0.3165312387143373,2017
London,London,England,0.4354768367431918,0.5645231632568082,2477,0.6709555414157338,0.009962318212933726,3355395,0.3781372982912593,0.6218627017087407,2017
Merseyside,North West,England,0.3153454577320167,0.6846545422679833,462,0.7516729260196828,0.021617628489608243,669122,0.23143163727989813,0.7685683627201019,2017
Norfolk,East,England,0.642066364040337,0.357933635959663,354,0.6410718186485738,0.025479422749336976,402628,0.6119296223809572,0.3880703776190429,2017
North Yorkshire,Yorkshire and The Humber,England,0.5348425968635934,0.4651574031364067,376,0.7208454093853456,0.02572284735755982,392161,0.6135974765466224,0.38640252345337756,2017
Northamptonshire,East Midlands,England,0.5913542991143478,0.40864570088565216,251,0.6613847891804685,0.03102847888835039,333924,0.6081862938872318,0.39181370611276817,2017
Northumberland,North East,England,0.4740953893663904,0.5259046106336096,118,0.5961231512688565,0.045966914331048755,151131,0.5088234710284455,0.4911765289715545,2017
Nottinghamshire,East Midlands,England,0.4852232048366817,0.5147767951633182,420,0.6480918157200943,0.02438684492785,507524,0.47771336921997776,0.5222866307800222,2017
Oxfordshire,South East,England,0.7039806417627112,0.2960193582372888,208,0.5889764560367803,0.03165255319830459,277521,0.6223276797071212,0.3776723202928787,2017
Powys,Wales,Wales,0.8401876378469827,0.15981236215301728,62,0.4597137997223507,0.046536903680095505,51033,0.7476730742852664,0.2523269257147336,2017
Scotland,Scotland,Scotland,0.5618666118319674,0.43813338816803254,1936,0.4024342542712064,0.011276312716558922,1474956,0.5138790580871565,0.4861209419128435,2017
Shropshire,West Midlands,England,0.6143147452565962,0.38568525474340387,154,0.6152913819449415,0.03922397714697925,234200,0.6121947053800171,0.3878052946199829,2017
Somerset,South West,England,0.6397990029532237,0.3602009970467764,171,0.5571235489880708,0.03671099702769929,216429,0.7602123560151366,0.2397876439848634,2017
