pcon,share_conservative_poll,share_labor_poll,N,share_joint_poll,sd_poll,share_conservative,share_labor,share_joint,year
aldershot,0.7721900217408831,0.22780997825911678,34,0.5677630257840274,0.0719298252924943,0.7126483622841424,0.2873516377158576,39262,2019
aldridge-brownhills,0.6523157491513619,0.34768425084863813,19,0.4535195594663044,0.10925583509901003,0.7765447245148338,0.2234552754851662,35864,2019
altrincham and sale west,0.6176279083384868,0.3823720916615133,17,0.367426628585069,0.11786424772990338,0.566034894477551,0.43396510552244905,46483,2019
amber valley,0.42862532330689357,0.5713746766931064,21,0.5204401227858149,0.10799154630206997,0.7044012976323052,0.29559870236769475,41306,2019
arundel and south downs,0.8488377935632311,0.1511622064367689,38,0.7076577225704442,0.05810883477124641,0.785329447094153,0.21467055290584702,45288,2019
ashfield,0.7075293454778045,0.2924706545221954,33,0.46864790543645474,0.0791874589790722,0.6163386962374207,0.38366130376257934,31202,2019
ashford,0.6657665407094152,0.3342334592905847,53,0.5396107672895702,0.06479597209430475,0.7378590802003524,0.2621409197996476,50511,2019
ashton-under-lyne,0.41382686671891844,0.5861731332810816,22,0.3912160285654795,0.10500523603839108,0.4350647372429551,0.564935262757045,32825,2019
aylesbury,0.717717447556022,0.28228255244397815,23,0.4230709630288638,0.0938544462891739,0.6805887611484168,0.3194112388515831,48101,2019
banbury,0.7773358036354292,0.2226641963645708,37,0.44796490034001607,0.06839567949486731,0.6632869102422159,0.33671308975778413,51483,2019
barking,0.3320686426915236,0.6679313573084764,17,0.4489052308651547,0.11422348044192418,0.30227371766937533,0.6977262823306247,39011,2019
barnsley central,0.35456326765031154,0.6454367323496885,24,0.4560075751312981,0.09764906487080942,0.34772647162495596,0.652273528375044,22696,2019
barnsley east,0.45170620817277257,0.5482937918272275,18,0.31575837753157643,0.11730011595877295,0.420019428478912,0.579980571521088,24706,2019
barrow and furness,0.48207505773852166,0.5179249422614784,30,0.49688426668825325,0.0912284123222078,0.5689774325000596,0.43102256749994045,41963,2019
basildon and billericay,0.6502752612562304,0.34972473874376964,30,0.6299794312449923,0.08706651592400906,0.7632583574081717,0.2367416425918283,38768,2019
basingstoke,0.8152884703305859,0.18471152966941404,28,0.48313498987856607,0.0733370838946045,0.6577976349248689,0.34220236507513113,44988,2019
bassetlaw,0.5028307164307431,0.4971692835692568,24,0.428707273971233,0.10206043696516473,0.6662553686258691,0.33374463137413096,42143,2019
bath,0.7951031258310131,0.20489687416898694,15,0.2579511376163586,0.10421584816292426,0.7079961294862772,0.29200387051372273,22736,2019
batley and spen,0.5323687749874987,0.4676312250125013,26,0.45894924656975383,0.09785237358188112,0.4576962772724,0.5423037227276001,41663,2019
battersea,0.6801308626770407,0.3198691373229593,24,0.44438123399432516,0.09520873391116863,0.4420592083742231,0.5579407916257769,48912,2019
beaconsfield,0.9077499614465966,0.09225003855340332,21,0.5646466039158947,0.0631475856116896,0.8494494285041718,0.1505505714958282,38233,2019
beckenham,0.6644233901006639,0.33557660989933613,31,0.5314148365821809,0.0848081228587947,0.6768719297375081,0.32312807026249196,40306,2019
bedford,0.46472519358529313,0.5352748064147068,39,0.6585433201001962,0.07986457897710267,0.4982246492151725,0.5017753507848275,40837,2019
bermondsey and old southwark,0.44427173065828074,0.5557282693417193,32,0.46535245763715866,0.08783762718721701,0.2337624695055675,0.7662375304944326,41401,2019
berwick-upon-tweed,0.7538514911806976,0.24614850881930242,26,0.5379294863364076,0.08448017983876369,0.7243715780876615,0.27562842191233855,33059,2019
bethnal green and bow,0.17371249916914602,0.8262875008308539,22,0.622966245971851,0.08077366436293551,0.12906287069988137,0.8709371293001186,50580,2019
beverley and holderness,0.4670464843981661,0.5329535156018339,49,0.7071953832635848,0.07127326914117953,0.7220099018500825,0.2779900981499175,46052,2019
bexhill and battle,0.6978097894538953,0.3021902105461048,32,0.5039296818561214,0.08117713794462962,0.7652531503837463,0.23474684961625375,49121,2019
bexleyheath and crayford,0.6936992698272948,0.3063007301727052,18,0.3654165187052677,0.10864841177659372,0.6696884146183533,0.3303115853816468,38609,2019
birkenhead,0.4296356546933991,0.570364345306601,18,0.42617442997112315,0.11667829916045358,0.18146085817228955,0.8185391418277105,30530,2019
birmingham - edgbaston,0.3525248931754114,0.6474751068245886,21,0.46280138624156497,0.10425497427143206,0.42376425855513306,0.5762357414448669,36820,2019
