county_name,share_conservative_poll,share_labor_poll,N,share_joint_poll,sd_poll,share_joint,share_conservative,share_labor,year
Avon,0.5771599208276691,0.4228400791723311,308,0.502906832808605,0.028148859093040178,480581,0.5386542539134922,0.4613457460865078,2019
Bedfordshire,0.677645504384526,0.32235449561547397,188,0.5638483228741653,0.034087034626645425,264564,0.593327134455179,0.4066728655448209,2019
Berkshire,0.7002356538166107,0.2997643461833894,208,0.4465816808864972,0.031767309253611466,338279,0.6578356918401674,0.34216430815983256,2019
Buckinghamshire,0.7005642291714318,0.2994357708285682,178,0.4974242733605435,0.03432936879215529,327040,0.67518957925636,0.3248104207436399,2019
Cambridgeshire,0.7056627355896327,0.2943372644103673,236,0.49358345310253493,0.029666425066527967,304576,0.6730471212439588,0.3269528787560412,2019
Cheshire,0.5326565409053416,0.4673434590946582,341,0.5758670939069603,0.027018704845769508,494608,0.5400782033448711,0.4599217966551289,2019
Cleveland,0.4881220612425748,0.5118779387574253,148,0.49681600356128,0.041088148038852614,216788,0.5170581397494326,0.4829418602505674,2019
Clwyd,0.5066497478555372,0.4933502521444629,183,0.5253736458271324,0.03695779462980274,222560,0.5328675413371675,0.4671324586628325,2019
Cornwall,0.6872699788400781,0.3127300211599219,202,0.5062244741209889,0.03261916121457993,247509,0.6994371921829106,0.3005628078170895,2019
Cumbria,0.6439964346537078,0.35600356534629213,149,0.5393658776466677,0.03922615779146199,223017,0.6439643614612339,0.35603563853876613,2019
Derbyshire,0.5460095907114112,0.45399040928858886,305,0.48314550775655785,0.02850844669553267,462018,0.601108614815873,0.39889138518412703,2019
Devon,0.7273579407037547,0.2726420592962453,441,0.5139352937072325,0.021205632182955392,505221,0.7027657203481249,0.2972342796518751,2019
Dorset,0.7725274826879778,0.22747251731202228,240,0.5026767661504696,0.02705925374523427,318145,0.760140816294457,0.23985918370554307,2019
Durham,0.4016451415900608,0.5983548584099392,198,0.5081293957887882,0.03483919204225864,245659,0.5011499680451358,0.49885003195486427,2019
Dyfed,0.6612085377366838,0.33879146226331625,126,0.4229361166013062,0.042164813375496844,139849,0.5579446402905991,0.44205535970940085,2019
East Sussex,0.6028972748309256,0.3971027251690743,253,0.48463374354025723,0.030761877158163618,319663,0.6185514119557158,0.3814485880442841,2019
Essex,0.7389150005410269,0.26108499945897307,547,0.5567519194579318,0.01877995462301657,766589,0.7528388745468563,0.24716112545314373,2019
Gloucestershire,0.6805980249279687,0.31940197507203133,178,0.5560495517678696,0.03494653648525506,271895,0.702914728111955,0.297085271888045,2019
Greater Manchester,0.434551984634625,0.565448015365375,659,0.4851478497934587,0.01930965451891773,1032922,0.42176563186765315,0.5782343681323469,2019
Gwent and Mid Glamorgan,0.4957456862227095,0.5042543137772906,316,0.4822511410096863,0.028126179345978827,369817,0.41689538339232646,0.5831046166076735,2019
Gwynedd,0.8148652705660201,0.1851347294339799,46,0.5354247289081208,0.05726746200208794,52436,0.5167060797925089,0.483293920207491,2019
Hampshire,0.7330392924316153,0.26696070756838475,529,0.5139524805036558,0.0192335505631331,725371,0.7398048722653648,0.2601951277346351,2019
Hereford and Worcester,0.7452781399085906,0.2547218600914093,236,0.5577570349242875,0.028361963822645317,346244,0.7394034264853687,0.2605965735146313,2019
Hertfordshire,0.7466359023100508,0.2533640976899491,283,0.5271094131356575,0.025854357759670665,458161,0.6919358042260253,0.30806419577397465,2019
Humberside,0.5761269754175081,0.4238730245824919,341,0.5639796754141243,0.026760843917855843,353165,0.65434287089604,0.3456571291039599,2019
Isle of Wight,0.7734420030339622,0.2265579969660378,60,0.5556795254509408,0.0540415690274278,59893,0.6981617217370978,0.30183827826290216,2019
Kent,0.7049611944831493,0.29503880551685063,563,0.5367647216582532,0.019220645943165936,753896,0.7061212687161094,0.29387873128389064,2019
Lancashire,0.5378950046517742,0.46210499534822574,472,0.5263216634129815,0.022948171552215648,601981,0.5502632142874941,0.44973678571250586,2019
Leicestershire,0.61999201139103155,0.3800079886089684,280,0.5632120011190567,0.029007506245449063,450494,0.6238018708351276,0.37619812916487233,2019
Lincolnshire,0.7515496246292533,0.24845037537074668,308,0.5662876443263751,0.024621998554565885,323542,0.7632981189459174,0.23670188105408263,2019
London,0.42370125884159954,0.5762987411584005,1953,0.5224243812422471,0.011181564954301448,3017939,0.3993218550805699,0.6006781449194302,2019
Merseyside,0.3292362789670184,0.6707637210329818,368,0.5672736543791363,0.024497102289761277,606802,0.23637199613712545,0.7636280038628745,2019
Norfolk,0.6656591533944723,0.3343408466055277,301,0.5007104656244353,0.027191766690237346,388945,0.6894676625229789,0.3105323374770212,2019
North Yorkshire,0.5651931027676108,0.4348068972323892,281,0.5136418827749863,0.029572870330997494,352387,0.6807487222854418,0.31925127771455813,2019
Northamptonshire,0.7279507451745204,0.27204925482547954,218,0.5193021895197897,0.030140227148165815,322840,0.6697714037913518,0.33022859620864825,2019
Northern Ireland,NA,NA,0,0,NA,5433,1,0,2019
Northumberland,0.48519500201026516,0.5148049979897349,106,0.550839619806766,0.04854299903222584,140416,0.5900253532360985,0.40997464676390155,2019
Nottinghamshire,0.5379339189606092,0.4620660810393907,357,0.5513498456513728,0.026386537278662296,462805,0.5591858342066313,0.4408141657933687,2019
Oxfordshire,0.6627726728934591,0.33722732710654085,173,0.4641173199159282,0.03594352160582534,241355,0.6918356777361149,0.3081643222638851,2019
Powys,0.862161058430674,0.13783894156932594,51,0.47578470441480636,0.04827197615073913,51507,0.8149960199584523,0.18500398004154775,2019
Scotland,0.6046058229490766,0.3953941770509234,1089,0.30198936694483564,0.014816217934097011,1204777,0.5751595523486919,0.4248404476513081,2019
Shropshire,0.6290464602527576,0.3709535397472423,142,0.5081465265140582,0.040537498819449326,222023,0.6991392783630525,0.30086072163694755,2019
Somerset,0.7960281635039268,0.20397183649607323,145,0.46192611283096585,0.03346303430524107,206667,0.842635737684294,0.15736426231570594,2019
South Glamorgan,0.37547812472111536,0.6245218752788846,167,0.5692803682753318,0.037472089619625656,209082,0.3940080925187247,0.6059919074812753,2019
South Yorkshire,0.4304486611770647,0.5695513388229353,356,0.4692342426672808,0.02624231354921959,454947,0.4329493325596168,0.5670506674403831,2019
Staffordshire,0.6639644389883772,0.3360355610116228,338,0.5613327393041034,0.025692518582001056,490922,0.6856914132998725,0.3143085867001275,2019
Suffolk,0.6635222145255492,0.3364777854744509,249,0.5453280252303755,0.029943754862201764,321162,0.7155983584608391,0.2844016415391609,2019
